"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","32.90","27.94","32.90","27.92","3.37M","17.80%"
"Apr 29, 2021","27.93","28.23","28.57","27.17","2.28M","-1.29%"
"Apr 28, 2021","28.29","27.91","28.56","26.44","2.56M","1.42%"
"Apr 27, 2021","27.90","26.35","27.90","26.35","2.34M","5.47%"
"Apr 26, 2021","26.45","21.62","26.45","21.62","3.02M","22.80%"
"Apr 25, 2021","21.54","21.89","23.30","20.94","1.71M","-1.31%"
"Apr 24, 2021","21.83","23.57","23.75","21.80","2.23M","-7.40%"
"Apr 23, 2021","23.57","23.90","23.90","20.84","4.75M","-1.77%"
"Apr 22, 2021","24.00","25.81","27.22","24.00","3.47M","-7.16%"
"Apr 21, 2021","25.85","27.45","27.89","25.85","2.76M","-5.84%"
"Apr 20, 2021","27.45","26.30","28.19","24.84","3.45M","4.83%"
"Apr 19, 2021","26.18","29.33","29.86","25.89","3.26M","-10.56%"
"Apr 18, 2021","29.27","33.96","33.96","23.34","5.87M","-13.86%"
"Apr 17, 2021","33.99","35.56","36.55","33.99","2.45M","-4.16%"
"Apr 16, 2021","35.46","37.13","37.13","34.79","3.68M","-4.13%"
"Apr 15, 2021","36.99","38.70","39.67","36.65","4.74M","-3.75%"
"Apr 14, 2021","38.43","33.69","38.85","33.30","7.61M","14.17%"
"Apr 13, 2021","33.66","34.02","34.52","32.26","3.08M","-0.46%"
"Apr 12, 2021","33.82","31.64","34.26","31.60","4.05M","6.95%"
"Apr 11, 2021","31.62","31.93","32.03","31.14","1.82M","-0.50%"
"Apr 10, 2021","31.78","31.52","33.53","31.35","3.32M","1.00%"
"Apr 09, 2021","31.46","30.79","31.79","30.38","2.41M","2.31%"
"Apr 08, 2021","30.75","29.70","31.20","29.70","1.59M","4.25%"
"Apr 07, 2021","29.50","31.61","31.68","28.87","3.03M","-6.25%"
"Apr 06, 2021","31.46","31.26","33.92","30.96","3.86M","0.63%"
"Apr 05, 2021","31.27","29.20","31.93","29.05","3.91M","7.21%"
"Apr 04, 2021","29.16","27.97","29.60","27.97","1.65M","3.48%"
"Apr 03, 2021","28.18","29.10","32.34","28.18","4.01M","-2.94%"
"Apr 02, 2021","29.04","28.29","29.25","28.04","1.50M","2.45%"
"Apr 01, 2021","28.34","28.76","29.08","28.19","1.55M","-1.39%"
"Mar 31, 2021","28.74","29.63","29.79","27.52","1.99M","-2.93%"
"Mar 30, 2021","29.61","29.54","30.24","29.18","1.92M","0.21%"
"Mar 29, 2021","29.55","28.76","30.10","28.67","1.93M","2.94%"
"Mar 28, 2021","28.70","27.80","29.13","27.31","2.15M","3.88%"
"Mar 27, 2021","27.63","28.31","28.31","27.09","1.66M","-2.28%"
"Mar 26, 2021","28.27","25.86","28.34","25.86","2.12M","9.53%"
"Mar 25, 2021","25.81","25.82","27.25","25.25","2.62M","-0.34%"
"Mar 24, 2021","25.90","28.44","30.11","25.90","2.92M","-9.06%"
"Mar 23, 2021","28.48","29.33","30.75","28.48","2.21M","-2.40%"
"Mar 22, 2021","29.18","32.83","33.08","29.18","2.82M","-11.05%"
"Mar 21, 2021","32.81","34.10","35.43","32.36","2.82M","-4.08%"
"Mar 20, 2021","34.20","37.40","38.39","34.20","2.54M","-8.48%"
"Mar 19, 2021","37.37","33.22","37.76","33.22","4.56M","12.58%"
"Mar 18, 2021","33.19","32.85","34.65","32.40","3.78M","1.58%"
"Mar 17, 2021","32.68","33.00","33.00","31.05","3.71M","-1.12%"
"Mar 16, 2021","33.05","28.89","33.05","28.36","3.92M","14.25%"
"Mar 15, 2021","28.92","28.84","29.68","28.01","3.23M","-0.41%"
"Mar 14, 2021","29.04","30.97","31.32","29.04","2.90M","-5.89%"
"Mar 13, 2021","30.86","28.00","32.66","27.76","4.64M","10.28%"
"Mar 12, 2021","27.98","30.90","30.90","27.64","4.02M","-9.12%"
"Mar 11, 2021","30.79","29.68","32.62","29.33","5.28M","4.01%"
"Mar 10, 2021","29.60","34.34","35.00","29.60","8.44M","-13.83%"
"Mar 09, 2021","34.35","25.70","34.35","23.88","10.51M","34.18%"
"Mar 08, 2021","25.60","26.75","26.96","25.51","2.19M","-4.25%"
"Mar 07, 2021","26.74","24.98","27.86","24.98","3.01M","7.37%"
"Mar 06, 2021","24.90","24.30","25.12","24.14","1.48M","2.29%"
"Mar 05, 2021","24.35","25.67","25.67","23.79","2.37M","-5.56%"
"Mar 04, 2021","25.78","26.88","28.16","25.20","3.09M","-5.35%"
"Mar 03, 2021","27.24","27.12","28.52","26.95","2.84M","0.57%"
"Mar 02, 2021","27.08","27.51","29.67","26.16","5.22M","-1.35%"
"Mar 01, 2021","27.45","24.07","27.45","24.07","2.25M","14.68%"
"Feb 28, 2021","23.94","25.63","25.84","22.78","1.82M","-7.07%"
"Feb 27, 2021","25.76","26.11","26.98","25.76","1.69M","-0.67%"
"Feb 26, 2021","25.94","26.74","27.48","25.20","1.80M","-2.42%"
"Feb 25, 2021","26.58","29.71","30.44","26.58","2.43M","-11.00%"
"Feb 24, 2021","29.86","27.59","31.30","26.94","3.23M","8.43%"
"Feb 23, 2021","27.54","32.22","32.22","25.12","3.66M","-14.54%"
"Feb 22, 2021","32.22","36.24","36.24","30.90","2.97M","-10.90%"
"Feb 21, 2021","36.16","35.91","37.54","35.53","1.52M","0.96%"
"Feb 20, 2021","35.82","38.89","41.60","35.82","3.40M","-7.59%"
"Feb 19, 2021","38.76","41.05","41.05","38.43","2.05M","-5.36%"
"Feb 18, 2021","40.96","37.33","43.28","36.97","3.10M","9.63%"
"Feb 17, 2021","37.36","36.54","39.15","34.57","3.08M","2.37%"
"Feb 16, 2021","36.49","38.41","38.54","35.78","2.56M","-4.45%"
"Feb 15, 2021","38.20","39.35","43.06","35.31","3.93M","-2.39%"
"Feb 14, 2021","39.13","44.24","44.24","38.91","2.83M","-11.37%"
"Feb 13, 2021","44.15","48.67","50.49","44.15","1.89M","-8.58%"
"Feb 12, 2021","48.30","47.27","51.05","44.91","3.21M","2.59%"
"Feb 11, 2021","47.07","55.18","56.02","45.46","4.30M","-14.38%"
"Feb 10, 2021","54.98","31.90","56.92","31.90","9.72M","74.32%"
"Feb 09, 2021","31.54","30.16","31.69","28.46","2.66M","4.74%"
"Feb 08, 2021","30.12","23.77","32.74","23.77","5.78M","26.82%"
"Feb 07, 2021","23.75","18.08","23.75","18.08","4.88M","31.18%"
"Feb 06, 2021","18.10","17.97","18.10","16.58","1.55M","1.06%"
"Feb 05, 2021","17.91","15.29","17.91","15.29","1.65M","17.13%"
"Feb 04, 2021","15.29","14.85","15.74","14.70","1.65M","3.06%"
"Feb 03, 2021","14.84","13.50","14.84","13.35","1.27M","10.07%"
"Feb 02, 2021","13.48","13.21","13.48","12.94","748.71K","1.94%"
"Feb 01, 2021","13.23","13.41","13.41","12.70","1.82M","-1.82%"
"Jan 31, 2021","13.47","12.03","14.32","12.03","5.02M","12.16%"
"Jan 30, 2021","12.01","11.62","12.14","11.59","1.12M","3.39%"
"Jan 29, 2021","11.62","11.95","12.06","11.52","1.47M","-2.71%"
"Jan 28, 2021","11.94","11.13","12.44","11.13","1.09M","6.92%"
"Jan 27, 2021","11.17","12.21","12.21","11.17","740.31K","-8.56%"
"Jan 26, 2021","12.21","12.18","12.44","11.64","873.80K","0.54%"
"Jan 25, 2021","12.15","12.49","12.86","12.15","613.59K","-2.56%"
"Jan 24, 2021","12.47","12.87","13.15","12.42","907.14K","-3.19%"
