"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","1.352103","1.306927","1.369855","1.287617","459.62M","3.45%"
"Apr 29, 2021","1.306997","1.336898","1.410300","1.268125","817.53M","-2.24%"
"Apr 28, 2021","1.336893","1.307518","1.348450","1.235023","575.49M","2.21%"
"Apr 27, 2021","1.307929","1.234764","1.332599","1.226349","579.44M","5.95%"
"Apr 26, 2021","1.234457","1.090052","1.249866","1.082019","713.34M","13.27%"
"Apr 25, 2021","1.089866","1.102718","1.145999","1.020446","505.26M","-1.11%"
"Apr 24, 2021","1.102116","1.156749","1.196083","1.095954","813.89M","-4.73%"
"Apr 23, 2021","1.156832","1.146238","1.166003","0.943800","1.55B","0.92%"
"Apr 22, 2021","1.146340","1.204413","1.278737","1.118130","812.88M","-4.83%"
"Apr 21, 2021","1.204510","1.267413","1.286353","1.198899","611.42M","-4.96%"
"Apr 20, 2021","1.267353","1.195932","1.281106","1.130005","794.19M","5.98%"
"Apr 19, 2021","1.195854","1.276862","1.323119","1.172362","1.02B","-6.35%"
"Apr 18, 2021","1.276922","1.370757","1.381278","1.079095","1.43B","-6.85%"
"Apr 17, 2021","1.370865","1.410760","1.456770","1.358862","603.76M","-2.84%"
"Apr 16, 2021","1.410876","1.478676","1.518048","1.335989","901.35M","-4.58%"
"Apr 15, 2021","1.478656","1.451791","1.491909","1.412216","794.86M","1.86%"
"Apr 14, 2021","1.451656","1.412445","1.556575","1.354682","1.61B","2.78%"
"Apr 13, 2021","1.412372","1.315437","1.436732","1.283105","208.73M","7.36%"
"Apr 12, 2021","1.315495","1.263286","1.349398","1.263286","873.74M","4.15%"
"Apr 11, 2021","1.263122","1.217913","1.289768","1.199939","667.69M","3.71%"
"Apr 10, 2021","1.217928","1.202072","1.250884","1.194880","432.91M","1.33%"
"Apr 09, 2021","1.201904","1.218713","1.228863","1.192572","277.94M","-1.39%"
"Apr 08, 2021","1.218895","1.172356","1.224185","1.170494","394.52M","3.82%"
"Apr 07, 2021","1.174041","1.251906","1.289109","1.160138","742.13M","-6.22%"
"Apr 06, 2021","1.251885","1.211708","1.337037","1.191666","1.11B","3.32%"
"Apr 05, 2021","1.211655","1.182041","1.225130","1.162444","484.02M","2.51%"
"Apr 04, 2021","1.181938","1.163331","1.192717","1.153394","370.27M","1.60%"
"Apr 03, 2021","1.163307","1.190299","1.240621","1.160046","531.51M","-2.26%"
"Apr 02, 2021","1.190254","1.182849","1.243753","1.181292","431.79M","0.63%"
"Apr 01, 2021","1.182820","1.191503","1.207497","1.172995","367.82M","-0.72%"
