"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","444.49","438.83","454.40","429.84","20.34K","1.29%"
"Apr 29, 2021","438.83","460.59","462.83","424.30","20.78K","-4.73%"
"Apr 28, 2021","460.64","440.48","485.98","424.22","39.21K","4.58%"
"Apr 27, 2021","440.48","405.03","449.84","394.26","32.27K","8.75%"
"Apr 26, 2021","405.03","348.47","408.17","345.88","33.72K","16.23%"
"Apr 25, 2021","348.47","317.82","353.56","314.31","16.33K","9.64%"
"Apr 24, 2021","317.82","343.52","344.03","314.92","11.29K","-7.48%"
"Apr 23, 2021","343.52","360.05","371.87","310.63","26.95K","-4.59%"
"Apr 22, 2021","360.05","351.11","413.35","343.93","28.41K","2.55%"
"Apr 21, 2021","351.11","360.49","384.22","341.65","14.44K","-2.60%"
"Apr 20, 2021","360.49","344.06","371.06","314.36","18.78K","4.78%"
"Apr 19, 2021","344.06","381.63","397.62","341.99","13.27K","-9.84%"
"Apr 18, 2021","381.63","425.29","428.55","285.79","32.41K","-10.45%"
"Apr 17, 2021","426.17","441.30","461.57","419.86","7.14K","-3.43%"
"Apr 16, 2021","441.30","466.11","469.74","420.81","13.88K","-5.35%"
"Apr 15, 2021","466.24","428.87","487.87","423.83","21.90K","8.71%"
"Apr 14, 2021","428.87","399.51","430.30","387.26","14.31K","7.35%"
"Apr 13, 2021","399.51","397.67","420.42","385.09","13.52K","0.52%"
"Apr 12, 2021","397.46","371.84","417.33","366.26","18.11K","6.89%"
"Apr 11, 2021","371.84","367.36","372.97","360.69","4.41K","1.22%"
"Apr 10, 2021","367.36","358.95","375.17","356.33","6.86K","2.34%"
"Apr 09, 2021","358.95","370.87","373.91","357.07","4.29K","-3.27%"
"Apr 08, 2021","371.08","348.72","371.13","346.69","6.34K","6.41%"
"Apr 07, 2021","348.72","383.33","387.00","341.09","12.01K","-9.03%"
"Apr 06, 2021","383.33","397.98","413.93","380.04","8.37K","-3.68%"
"Apr 05, 2021","397.98","403.42","408.27","383.66","5.89K","-1.35%"
"Apr 04, 2021","403.42","379.78","411.21","373.33","6.20K","6.22%"
"Apr 03, 2021","379.78","420.10","425.26","377.42","7.62K","-9.60%"
"Apr 02, 2021","420.10","382.07","421.99","377.51","8.09K","9.95%"
"Apr 01, 2021","382.07","382.48","393.08","371.44","6.41K","-0.11%"
"Mar 31, 2021","382.48","377.39","393.20","357.71","8.85K","1.34%"
"Mar 30, 2021","377.42","360.55","382.78","353.46","5.15K","4.68%"
"Mar 29, 2021","360.55","348.24","367.43","344.50","3.84K","3.53%"
"Mar 28, 2021","348.24","351.45","356.65","334.41","4.55K","-0.91%"
"Mar 27, 2021","351.45","358.08","361.78","339.68","3.58K","-1.85%"
"Mar 26, 2021","358.08","325.51","360.31","325.40","6.70K","10.01%"
"Mar 25, 2021","325.51","308.21","332.94","299.39","8.61K","5.39%"
"Mar 24, 2021","308.85","330.40","348.42","296.66","6.41K","-6.62%"
"Mar 23, 2021","330.75","336.28","345.09","326.27","6.14K","-1.64%"
"Mar 22, 2021","336.27","367.51","371.72","333.12","6.04K","-8.50%"
"Mar 21, 2021","367.51","370.08","375.81","360.05","3.71K","-0.67%"
"Mar 20, 2021","370.00","369.00","396.09","367.39","5.36K","0.17%"
"Mar 19, 2021","369.36","363.18","378.87","355.02","3.64K","1.70%"
"Mar 18, 2021","363.18","381.86","383.63","361.67","4.22K","-4.89%"
"Mar 17, 2021","381.86","370.01","382.99","358.30","4.22K","3.20%"
"Mar 16, 2021","370.01","367.48","376.47","350.89","6.17K","0.84%"
"Mar 15, 2021","366.91","379.82","389.62","355.00","9.65K","-3.68%"
"Mar 14, 2021","380.92","413.88","418.01","377.13","10.26K","-7.96%"
"Mar 13, 2021","413.88","374.38","427.88","360.02","13.45K","10.51%"
"Mar 12, 2021","374.53","405.02","408.28","361.50","12.41K","-7.53%"
"Mar 11, 2021","405.02","406.58","414.44","388.78","12.76K","-0.38%"
"Mar 10, 2021","406.58","444.08","457.97","400.43","15.70K","-8.44%"
"Mar 09, 2021","444.08","436.79","448.60","417.18","17.77K","1.67%"
"Mar 08, 2021","436.79","414.20","436.79","392.27","27.46K","5.45%"
"Mar 07, 2021","414.20","388.26","418.91","384.31","28.54K","6.68%"
"Mar 06, 2021","388.26","367.01","390.74","352.33","11.04K","5.68%"
"Mar 05, 2021","367.38","374.14","376.77","340.64","16.88K","-1.81%"
"Mar 04, 2021","374.14","396.26","410.36","366.29","15.07K","-5.58%"
"Mar 03, 2021","396.26","390.62","418.45","383.90","15.87K","1.39%"
"Mar 02, 2021","390.81","385.22","416.91","377.00","30.39K","1.45%"
"Mar 01, 2021","385.22","353.96","388.44","351.16","33.39K","8.99%"
"Feb 28, 2021","353.46","332.73","365.29","301.02","30.73K","6.44%"
"Feb 27, 2021","332.07","323.31","349.79","323.31","19.87K","2.97%"
"Feb 26, 2021","322.49","339.35","352.86","304.22","25.79K","-4.57%"
"Feb 25, 2021","337.92","367.51","388.32","335.37","15.27K","-8.05%"
"Feb 24, 2021","367.51","364.27","405.34","342.02","24.48K","0.89%"
"Feb 23, 2021","364.27","399.49","403.10","286.29","31.37K","-8.82%"
"Feb 22, 2021","399.49","437.24","447.92","357.86","19.92K","-8.63%"
"Feb 21, 2021","437.24","441.48","454.53","425.52","10.98K","-0.96%"
"Feb 20, 2021","441.48","419.53","497.49","408.00","30.93K","5.14%"
"Feb 19, 2021","419.90","441.79","447.83","407.41","12.58K","-4.95%"
"Feb 18, 2021","441.79","450.79","478.52","435.27","8.31K","-2.00%"
"Feb 17, 2021","450.79","432.75","464.43","400.32","11.54K","4.11%"
"Feb 16, 2021","433.00","455.25","478.23","423.33","14.78K","-4.89%"
"Feb 15, 2021","455.25","468.72","496.34","389.86","16.09K","-2.87%"
"Feb 14, 2021","468.72","494.71","508.81","460.88","11.49K","-5.25%"
"Feb 13, 2021","494.71","528.34","542.33","488.33","12.74K","-6.37%"
"Feb 12, 2021","528.34","517.39","543.37","500.26","10.92K","2.12%"
"Feb 11, 2021","517.39","523.64","541.42","508.58","9.69K","-1.19%"
"Feb 10, 2021","523.64","487.98","578.10","487.98","17.10K","7.31%"
