"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","0.336635","0.303226","0.338327","0.300761","6.48B","11.01%"
"Apr 29, 2021","0.303240","0.323591","0.323797","0.295612","6.74B","-6.29%"
"Apr 28, 2021","0.323582","0.270696","0.343505","0.255591","21.22B","19.55%"
"Apr 27, 2021","0.270668","0.270118","0.278347","0.264018","5.38B","0.32%"
"Apr 26, 2021","0.269805","0.251192","0.279737","0.247390","7.90B","7.45%"
"Apr 25, 2021","0.251103","0.269932","0.288841","0.224455","10.02B","-7.00%"
"Apr 24, 2021","0.270017","0.248790","0.289165","0.229214","17.25B","8.56%"
"Apr 23, 2021","0.248731","0.260800","0.269065","0.166312","27.91B","-4.63%"
"Apr 22, 2021","0.260810","0.305718","0.308332","0.256061","17.34B","-14.67%"
"Apr 21, 2021","0.305633","0.317922","0.346599","0.297108","15.48B","-3.80%"
"Apr 20, 2021","0.317696","0.407451","0.422212","0.271758","33.27B","-22.01%"
"Apr 19, 2021","0.407335","0.322197","0.433969","0.309128","31.68B","26.49%"
"Apr 18, 2021","0.322037","0.282723","0.349748","0.239707","29.11B","14.23%"
"Apr 17, 2021","0.281909","0.365389","0.378924","0.232010","39.28B","-22.88%"
"Apr 16, 2021","0.365551","0.182628","0.449889","0.180132","83.39B","99.99%"
"Apr 15, 2021","0.182784","0.121275","0.189446","0.120291","37.96B","50.63%"
"Apr 14, 2021","0.121349","0.094250","0.144229","0.092535","57.29B","29.42%"
"Apr 13, 2021","0.093763","0.070709","0.095671","0.070705","23.19B","32.59%"
"Apr 12, 2021","0.070719","0.074205","0.075337","0.068792","8.90B","-4.63%"
"Apr 11, 2021","0.074150","0.063680","0.079712","0.063402","24.47B","16.43%"
"Apr 10, 2021","0.063688","0.061605","0.065016","0.060969","5.30B","3.42%"
"Apr 09, 2021","0.061582","0.061754","0.063832","0.060536","4.13B","-0.28%"
"Apr 08, 2021","0.061757","0.058730","0.062168","0.058705","3.86B","5.16%"
"Apr 07, 2021","0.058728","0.064281","0.067151","0.057211","9.59B","-8.64%"
"Apr 06, 2021","0.064283","0.059921","0.064989","0.058068","9.45B","7.23%"
"Apr 05, 2021","0.059948","0.057393","0.060593","0.056318","5.22B","4.44%"
"Apr 04, 2021","0.057401","0.055542","0.058122","0.055121","3.28B","3.32%"
"Apr 03, 2021","0.055554","0.057567","0.059440","0.055553","4.08B","-3.50%"
"Apr 02, 2021","0.057570","0.062093","0.062794","0.057285","8.10B","-7.31%"
"Apr 01, 2021","0.062113","0.053742","0.070722","0.053723","26.14B","15.57%"
"Mar 31, 2021","0.053744","0.054026","0.054484","0.051896","2.26B","-0.52%"
"Mar 30, 2021","0.054027","0.054122","0.055567","0.053738","2.81B","-0.14%"
"Mar 29, 2021","0.054102","0.053641","0.054673","0.053230","1.92B","0.87%"
"Mar 28, 2021","0.053637","0.054436","0.054859","0.053046","1.42B","-1.45%"
"Mar 27, 2021","0.054426","0.053976","0.055388","0.053456","2.39B","0.84%"
"Mar 26, 2021","0.053973","0.051249","0.053988","0.051241","2.11B","5.29%"
"Mar 25, 2021","0.051263","0.051501","0.052410","0.049650","3.47B","-0.48%"
"Mar 24, 2021","0.051510","0.053431","0.056659","0.050887","3.00B","-3.61%"
"Mar 23, 2021","0.053437","0.054913","0.056043","0.052797","2.81B","-2.72%"
"Mar 22, 2021","0.054929","0.057475","0.057923","0.054801","2.42B","-4.42%"
"Mar 21, 2021","0.057471","0.058829","0.059509","0.056763","2.57B","-2.31%"
"Mar 20, 2021","0.058827","0.058263","0.060603","0.058042","3.43B","0.95%"
"Mar 19, 2021","0.058270","0.057290","0.059825","0.056462","3.12B","1.70%"
"Mar 18, 2021","0.057294","0.057878","0.059150","0.056997","2.56B","-1.01%"
"Mar 17, 2021","0.057880","0.058606","0.058881","0.056567","2.39B","-1.25%"
"Mar 16, 2021","0.058611","0.056968","0.059050","0.055365","3.91B","2.89%"
"Mar 15, 2021","0.056965","0.058429","0.059736","0.055064","4.77B","-2.51%"
"Mar 14, 2021","0.058431","0.062676","0.063510","0.058431","9.16B","-6.80%"
"Mar 13, 2021","0.062694","0.055238","0.062739","0.054694","6.37B","13.45%"
"Mar 12, 2021","0.055261","0.055896","0.056965","0.054298","3.66B","-1.13%"
"Mar 11, 2021","0.055893","0.055877","0.056895","0.054398","3.39B","-0.01%"
"Mar 10, 2021","0.055900","0.057900","0.058642","0.054554","4.71B","-3.58%"
"Mar 09, 2021","0.057978","0.062851","0.062851","0.056009","8.67B","-7.75%"
"Mar 08, 2021","0.062848","0.051888","0.062848","0.051622","13.64B","21.14%"
"Mar 07, 2021","0.051881","0.050924","0.052248","0.050548","3.03B","1.86%"
"Mar 06, 2021","0.050935","0.049523","0.052453","0.049256","5.28B","2.73%"
"Mar 05, 2021","0.049584","0.049925","0.050877","0.048026","3.76B","-0.69%"
"Mar 04, 2021","0.049927","0.050469","0.051118","0.047762","3.65B","-1.08%"
"Mar 03, 2021","0.050474","0.050343","0.052153","0.050011","3.64B","0.39%"
"Mar 02, 2021","0.050279","0.050582","0.052423","0.049198","4.67B","-0.59%"
"Mar 01, 2021","0.050576","0.048134","0.052290","0.047929","5.22B","5.08%"
"Feb 28, 2021","0.048129","0.050076","0.050176","0.044811","4.85B","-3.89%"
"Feb 27, 2021","0.050076","0.050466","0.051993","0.049173","4.45B","-0.77%"
"Feb 26, 2021","0.050463","0.049909","0.052537","0.048537","6.16B","0.84%"
"Feb 25, 2021","0.050045","0.056663","0.058030","0.049862","9.27B","-11.67%"
"Feb 24, 2021","0.056653","0.047663","0.060400","0.046065","19.49B","18.84%"
"Feb 23, 2021","0.047673","0.053537","0.053774","0.041782","11.25B","-10.94%"
"Feb 22, 2021","0.053530","0.056136","0.060737","0.046516","15.50B","-4.21%"
"Feb 21, 2021","0.055881","0.054196","0.059292","0.053350","10.29B","3.23%"
"Feb 20, 2021","0.054135","0.055044","0.060455","0.051115","14.03B","-1.64%"
"Feb 19, 2021","0.055036","0.059117","0.059628","0.054075","11.88B","-6.93%"
"Feb 18, 2021","0.059134","0.049469","0.063482","0.048970","21.38B","19.54%"
"Feb 17, 2021","0.049467","0.053513","0.055054","0.047960","10.52B","-7.56%"
"Feb 16, 2021","0.053513","0.056427","0.059810","0.050815","11.60B","-5.19%"
"Feb 15, 2021","0.056442","0.062639","0.064003","0.047653","19.30B","-9.89%"
"Feb 14, 2021","0.062639","0.066244","0.066392","0.055785","13.80B","-5.45%"
"Feb 13, 2021","0.066249","0.069815","0.071703","0.065915","7.32B","-5.07%"
"Feb 12, 2021","0.069791","0.069780","0.072720","0.061285","13.24B","0.26%"
"Feb 11, 2021","0.069611","0.072580","0.074843","0.068152","11.23B","-4.10%"
"Feb 10, 2021","0.072584","0.070015","0.081396","0.067081","22.67B","3.67%"
"Feb 09, 2021","0.070012","0.078782","0.083567","0.064053","22.36B","-11.14%"
"Feb 08, 2021","0.078793","0.077936","0.085037","0.063839","38.11B","0.36%"
"Feb 07, 2021","0.078508","0.057506","0.086356","0.053464","54.23B","36.62%"
"Feb 06, 2021","0.057465","0.046788","0.058646","0.044505","26.40B","22.83%"
"Feb 05, 2021","0.046783","0.052933","0.054033","0.043289","27.11B","-11.64%"
"Feb 04, 2021","0.052944","0.037340","0.059081","0.035919","72.24B","41.77%"
"Feb 03, 2021","0.037345","0.031297","0.039651","0.031031","20.28B","19.33%"
"Feb 02, 2021","0.031296","0.034784","0.035142","0.029054","19.70B","-9.82%"
"Feb 01, 2021","0.034705","0.036826","0.043700","0.033096","39.34B","-5.80%"
"Jan 31, 2021","0.036841","0.028199","0.048998","0.026909","65.01B","30.66%"
"Jan 30, 2021","0.028197","0.045859","0.050499","0.022269","77.24B","-39.49%"
"Jan 29, 2021","0.046597","0.036085","0.077970","0.032340","146.80B","28.49%"
"Jan 28, 2021","0.036265","0.007415","0.037902","0.007415","12.41B","387.36%"
"Jan 27, 2021","0.007441","0.008244","0.008245","0.007268","2.01B","-9.70%"
"Jan 26, 2021","0.008240","0.008349","0.008454","0.008014","1.47B","-1.35%"
"Jan 25, 2021","0.008353","0.008714","0.008899","0.008259","2.07B","-4.14%"
"Jan 24, 2021","0.008714","0.008571","0.008955","0.008504","1.84B","1.67%"
"Jan 23, 2021","0.008571","0.008516","0.008801","0.008359","1.79B","0.65%"
"Jan 22, 2021","0.008516","0.008167","0.008751","0.007571","2.47B","4.20%"
"Jan 21, 2021","0.008172","0.009055","0.009099","0.008049","2.88B","-9.75%"
"Jan 20, 2021","0.009055","0.009050","0.009141","0.008506","2.65B","0.02%"
"Jan 19, 2021","0.009053","0.009173","0.009655","0.009000","3.51B","-1.29%"
"Jan 18, 2021","0.009172","0.009094","0.009302","0.008949","2.48B","0.86%"
"Jan 17, 2021","0.009094","0.009235","0.009365","0.008806","3.07B","-1.52%"
"Jan 16, 2021","0.009235","0.009370","0.009546","0.009095","3.59B","-1.48%"
"Jan 15, 2021","0.009373","0.009398","0.009827","0.008373","6.69B","-0.28%"
"Jan 14, 2021","0.009400","0.008672","0.010064","0.008329","7.54B","8.43%"
"Jan 13, 2021","0.008669","0.008068","0.008669","0.007779","3.98B","7.47%"
"Jan 12, 2021","0.008066","0.008824","0.009136","0.007848","5.99B","-8.63%"
"Jan 11, 2021","0.008828","0.009829","0.009846","0.006727","11.36B","-10.20%"
"Jan 10, 2021","0.009831","0.010159","0.010850","0.009056","8.01B","-3.22%"
"Jan 09, 2021","0.010158","0.009753","0.010687","0.009658","6.61B","4.15%"
"Jan 08, 2021","0.009753","0.009728","0.010253","0.008834","5.48B","0.29%"
"Jan 07, 2021","0.009724","0.010443","0.010497","0.008972","7.15B","-6.88%"
"Jan 06, 2021","0.010443","0.009960","0.010968","0.009652","16.84B","4.87%"
"Jan 05, 2021","0.009958","0.009784","0.010319","0.008866","15.37B","1.82%"
"Jan 04, 2021","0.009780","0.009845","0.011493","0.007623","38.72B","-0.71%"
"Jan 03, 2021","0.009850","0.010493","0.013928","0.009381","71.68B","-6.09%"
"Jan 02, 2021","0.010489","0.005667","0.014008","0.005553","100.85B","85.27%"
"Jan 01, 2021","0.005661","0.004666","0.005676","0.004606","8.41B","21.33%"
