"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","6.4445","5.8978","6.4569","5.7860","439.44M","9.25%"
"Apr 29, 2021","5.8988","5.9562","6.0418","5.6230","420.29M","-0.97%"
"Apr 28, 2021","5.9569","6.0642","6.2201","5.6905","452.18M","-1.68%"
"Apr 27, 2021","6.0589","5.8619","6.1037","5.7523","464.12M","3.34%"
"Apr 26, 2021","5.8630","4.9985","5.8994","4.9310","500.63M","17.35%"
"Apr 25, 2021","4.9962","5.0860","5.4517","4.6152","448.15M","-1.87%"
"Apr 24, 2021","5.0916","5.5761","5.5903","5.0323","465.71M","-8.67%"
"Apr 23, 2021","5.5748","5.8598","5.9948","4.4784","673.00M","-4.79%"
"Apr 22, 2021","5.8555","6.3188","6.8173","5.6040","621.97M","-7.37%"
"Apr 21, 2021","6.3210","6.6953","6.8452","6.2333","569.79M","-5.61%"
"Apr 20, 2021","6.6968","6.5986","6.8493","6.0685","643.75M","1.41%"
"Apr 19, 2021","6.6035","7.2891","7.4914","6.5004","715.19M","-9.27%"
"Apr 18, 2021","7.2784","7.7815","7.9340","5.8736","841.92M","-6.54%"
"Apr 17, 2021","7.7878","8.4922","8.8360","7.6060","802.82M","-8.39%"
"Apr 16, 2021","8.5012","7.8850","8.7402","7.0779","871.87M","7.95%"
"Apr 15, 2021","7.8752","7.6647","7.9194","7.2889","597.03M","2.75%"
"Apr 14, 2021","7.6644","7.3814","8.0743","7.0459","766.59M","3.83%"
"Apr 13, 2021","7.3820","6.4773","7.5498","6.4208","594.16M","13.96%"
"Apr 12, 2021","6.4779","6.7283","6.8616","6.2941","475.14M","-3.71%"
"Apr 11, 2021","6.7277","6.6152","7.0616","6.5540","564.36M","1.67%"
"Apr 10, 2021","6.6171","6.2053","6.7590","6.1537","513.52M","6.67%"
"Apr 09, 2021","6.2032","6.4418","6.5931","6.0750","505.38M","-3.74%"
"Apr 08, 2021","6.4444","5.8852","6.4663","5.8100","530.66M","9.48%"
"Apr 07, 2021","5.8866","6.6412","7.0469","5.7364","742.54M","-11.36%"
"Apr 06, 2021","6.6410","6.6960","7.0821","6.2059","676.12M","-0.77%"
"Apr 05, 2021","6.6923","6.2829","7.0658","5.8371","671.91M","6.48%"
"Apr 04, 2021","6.2849","5.4144","6.2976","5.3346","549.42M","16.08%"
