"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","2.14433","2.09149","2.14859","2.04213","58.26M","2.51%"
"Apr 29, 2021","2.09189","2.17738","2.18546","1.97643","67.25M","-3.93%"
"Apr 28, 2021","2.17738","2.19932","2.28851","2.02981","86.77M","-1.00%"
"Apr 27, 2021","2.19934","1.98021","2.20912","1.94334","76.40M","11.05%"
"Apr 26, 2021","1.98041","1.63285","2.03794","1.61319","112.78M","21.29%"
"Apr 25, 2021","1.63285","1.66069","1.80210","1.53509","95.16M","-1.72%"
"Apr 24, 2021","1.66145","1.86575","1.86677","1.63845","83.63M","-10.95%"
"Apr 23, 2021","1.86575","1.82070","1.91209","1.53656","167.00M","2.52%"
"Apr 22, 2021","1.81993","2.05830","2.15282","1.76790","107.02M","-11.58%"
"Apr 21, 2021","2.05830","2.19443","2.27808","2.03380","81.84M","-6.15%"
"Apr 20, 2021","2.19326","2.07767","2.29648","1.84421","143.88M","5.49%"
"Apr 19, 2021","2.07919","2.35551","2.47279","2.06040","130.95M","-11.73%"
"Apr 18, 2021","2.35551","2.32585","2.42010","1.58093","189.41M","1.25%"
"Apr 17, 2021","2.32635","2.51306","2.60566","2.32587","97.38M","-7.49%"
"Apr 16, 2021","2.51467","2.16794","2.66009","2.15298","133.80M","15.99%"
"Apr 15, 2021","2.16794","2.11319","2.20373","2.04747","40.10M","2.59%"
"Apr 14, 2021","2.11319","2.15221","2.22966","1.98801","71.44M","-1.81%"
"Apr 13, 2021","2.15221","1.99604","2.18665","1.95649","68.64M","7.83%"
"Apr 12, 2021","1.99589","2.09411","2.09681","1.95830","45.21M","-4.69%"
"Apr 11, 2021","2.09411","2.08129","2.14589","1.99208","66.25M","0.55%"
"Apr 10, 2021","2.08271","1.86428","2.09797","1.85552","90.15M","11.72%"
"Apr 09, 2021","1.86428","1.88765","2.00086","1.85662","80.72M","-1.27%"
"Apr 08, 2021","1.88829","1.65425","1.93222","1.64379","96.38M","14.16%"
"Apr 07, 2021","1.65402","1.79811","1.81356","1.57026","65.57M","-8.02%"
"Apr 06, 2021","1.79819","1.72007","1.84617","1.66234","66.96M","4.54%"
"Apr 05, 2021","1.72007","1.54952","1.76689","1.51201","85.43M","11.02%"
"Apr 04, 2021","1.54931","1.47635","1.55882","1.45774","30.22M","4.94%"
"Apr 03, 2021","1.47644","1.62191","1.63618","1.47505","44.37M","-8.97%"
"Apr 02, 2021","1.62193","1.57317","1.63549","1.54473","45.80M","3.10%"
"Apr 01, 2021","1.57317","1.53213","1.64382","1.52630","54.21M","2.74%"
"Mar 31, 2021","1.53127","1.52447","1.55403","1.42008","51.44M","0.47%"
"Mar 30, 2021","1.52414","1.50807","1.57413","1.47133","51.16M","1.07%"
"Mar 29, 2021","1.50807","1.39135","1.50807","1.36944","56.00M","8.38%"
"Mar 28, 2021","1.39151","1.39703","1.44613","1.36652","41.07M","-0.40%"
"Mar 27, 2021","1.39703","1.44484","1.47161","1.35491","48.78M","-3.27%"
"Mar 26, 2021","1.44425","1.33368","1.49364","1.33368","60.43M","8.24%"
"Mar 25, 2021","1.33434","1.40744","1.42326","1.28795","81.92M","-5.37%"
"Mar 24, 2021","1.41003","1.65216","1.74233","1.33658","97.86M","-14.69%"
"Mar 23, 2021","1.65288","1.46631","1.76761","1.46086","209.40M","12.76%"
"Mar 22, 2021","1.46581","1.40960","1.56388","1.36897","99.70M","3.98%"
"Mar 21, 2021","1.40964","1.40429","1.44485","1.34400","49.13M","0.38%"
"Mar 20, 2021","1.40429","1.33346","1.48497","1.32663","80.84M","5.33%"
"Mar 19, 2021","1.33326","1.32229","1.35808","1.30469","32.28M","0.83%"
"Mar 18, 2021","1.32229","1.35302","1.36659","1.31204","36.02M","-2.27%"
"Mar 17, 2021","1.35302","1.32833","1.36163","1.29337","42.17M","1.83%"
"Mar 16, 2021","1.32874","1.27750","1.38714","1.26939","57.14M","4.01%"
"Mar 15, 2021","1.27754","1.31138","1.35688","1.22099","70.31M","-2.58%"
"Mar 14, 2021","1.31140","1.37556","1.38782","1.31140","35.34M","-4.66%"
"Mar 13, 2021","1.37556","1.32138","1.40358","1.28024","47.63M","4.10%"
"Mar 12, 2021","1.32144","1.38953","1.43730","1.28086","73.45M","-4.89%"
"Mar 11, 2021","1.38934","1.30359","1.52320","1.26354","111.54M","6.58%"
"Mar 10, 2021","1.30359","1.41773","1.42206","1.29288","60.79M","-8.05%"
"Mar 09, 2021","1.41773","1.29863","1.41897","1.28979","67.41M","9.26%"
"Mar 08, 2021","1.29754","1.30892","1.33743","1.28426","51.18M","-0.82%"
"Mar 07, 2021","1.30827","1.27832","1.34370","1.26632","56.57M","2.34%"
