"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","4,354.74","4,257.29","4,359.74","4,081.58","4.32K","2.29%"
"Apr 29, 2021","4,257.29","4,405.04","4,405.89","4,070.97","5.72K","-3.45%"
"Apr 28, 2021","4,409.24","4,548.43","4,650.45","4,140.50","4.53K","-3.21%"
"Apr 27, 2021","4,555.64","4,015.73","4,595.45","4,001.12","6.47K","13.44%"
"Apr 26, 2021","4,015.73","3,821.28","4,143.36","3,746.47","5.66K","5.09%"
"Apr 25, 2021","3,821.28","4,005.08","4,122.95","3,577.55","7.59K","-4.59%"
"Apr 24, 2021","4,005.08","4,053.94","4,158.07","3,608.29","7.63K","-1.20%"
"Apr 23, 2021","4,053.87","4,021.39","4,568.37","3,313.64","25.40K","0.80%"
"Apr 22, 2021","4,021.72","4,035.44","4,957.53","3,831.32","30.31K","-0.34%"
"Apr 21, 2021","4,035.44","3,456.98","4,255.27","3,375.96","11.51K","16.89%"
"Apr 20, 2021","3,452.31","3,516.14","3,658.65","3,175.29","6.40K","-1.82%"
"Apr 19, 2021","3,516.14","3,240.11","3,850.82","3,160.02","9.01K","8.64%"
"Apr 18, 2021","3,236.56","3,310.13","3,327.37","2,768.70","5.20K","-2.22%"
"Apr 17, 2021","3,310.13","3,370.68","3,633.87","3,292.37","5.21K","-1.81%"
"Apr 16, 2021","3,371.20","3,763.15","3,826.26","3,213.68","12.07K","-10.42%"
"Apr 15, 2021","3,763.21","2,674.25","4,050.01","2,670.52","27.02K","40.72%"
"Apr 14, 2021","2,674.25","2,570.88","2,680.65","2,489.82","4.72K","4.03%"
"Apr 13, 2021","2,570.70","2,696.95","2,745.88","2,437.25","6.08K","-4.64%"
"Apr 12, 2021","2,695.84","2,277.54","2,700.16","2,274.80","8.15K","18.36%"
"Apr 11, 2021","2,277.62","2,231.12","2,303.50","2,180.41","2.22K","2.08%"
"Apr 10, 2021","2,231.12","2,222.68","2,365.34","2,177.93","4.04K","0.38%"
"Apr 09, 2021","2,222.68","2,208.66","2,280.43","2,172.71","3.40K","0.64%"
"Apr 08, 2021","2,208.66","2,105.41","2,234.47","2,074.46","2.51K","5.04%"
"Apr 07, 2021","2,102.78","2,291.74","2,342.54","2,020.13","4.57K","-8.18%"
"Apr 06, 2021","2,290.12","2,327.91","2,348.43","2,188.82","2.94K","-1.60%"
"Apr 05, 2021","2,327.39","2,302.74","2,365.89","2,195.33","2.48K","1.07%"
"Apr 04, 2021","2,302.74","2,237.05","2,343.95","2,218.82","2.37K","2.94%"
"Apr 03, 2021","2,237.03","2,477.65","2,572.17","2,217.12","3.83K","-9.71%"
"Apr 02, 2021","2,477.65","2,289.35","2,585.29","2,272.29","5.48K","8.24%"
"Apr 01, 2021","2,288.99","2,109.94","2,374.21","2,106.25","5.05K","8.49%"
"Mar 31, 2021","2,109.94","2,087.81","2,139.73","2,023.06","1.58K","1.04%"
"Mar 30, 2021","2,088.23","2,097.01","2,164.85","2,080.42","1.41K","-0.42%"
"Mar 29, 2021","2,096.95","2,058.31","2,142.30","2,033.36","1.50K","1.88%"
"Mar 28, 2021","2,058.31","2,139.97","2,145.81","2,018.27","2.50K","-3.86%"
"Mar 27, 2021","2,140.86","1,983.99","2,227.55","1,954.00","5.72K","7.91%"
"Mar 26, 2021","1,983.99","1,881.69","1,996.54","1,880.85","2.08K","5.44%"
"Mar 25, 2021","1,881.69","1,816.16","1,929.23","1,784.81","4.43K","3.61%"
"Mar 24, 2021","1,816.16","2,009.64","2,071.78","1,762.19","2.80K","-9.63%"
"Mar 23, 2021","2,009.68","1,964.25","2,030.64","1,906.25","2.12K","2.31%"
"Mar 22, 2021","1,964.26","2,097.13","2,114.53","1,951.68","2.29K","-6.34%"
"Mar 21, 2021","2,097.13","2,137.00","2,160.63","2,066.62","1.95K","-1.75%"
"Mar 20, 2021","2,134.43","2,095.94","2,259.72","2,092.49","3.50K","1.87%"
"Mar 19, 2021","2,095.19","2,117.34","2,133.26","2,066.28","1.73K","-0.85%"
"Mar 18, 2021","2,113.05","2,114.14","2,193.87","2,103.52","2.06K","-0.07%"
"Mar 17, 2021","2,114.54","2,069.99","2,171.29","2,026.17","1.62K","2.15%"
"Mar 16, 2021","2,069.99","1,998.28","2,108.81","1,932.76","2.00K","3.59%"
"Mar 15, 2021","1,998.28","2,050.12","2,117.75","1,938.81","2.68K","-2.53%"
"Mar 14, 2021","2,050.21","2,170.76","2,203.17","2,050.04","2.17K","-5.56%"
"Mar 13, 2021","2,170.85","2,134.19","2,230.10","2,082.94","2.37K","1.72%"
"Mar 12, 2021","2,134.19","2,227.29","2,291.51","2,094.86","2.33K","-4.13%"
"Mar 11, 2021","2,226.22","2,257.28","2,286.50","2,116.91","2.84K","-1.38%"
"Mar 10, 2021","2,257.28","2,260.64","2,329.32","2,170.16","2.71K","-0.15%"
"Mar 09, 2021","2,260.64","2,192.53","2,271.53","2,141.40","2.75K","3.11%"
"Mar 08, 2021","2,192.53","2,252.00","2,263.66","2,063.59","6.23K","-2.64%"
"Mar 07, 2021","2,252.00","2,246.70","2,259.19","2,163.53","1.58K","0.24%"
"Mar 06, 2021","2,246.70","2,059.78","2,313.80","2,045.27","3.37K","9.12%"
"Mar 05, 2021","2,059.01","2,196.65","2,196.65","2,041.05","1.36K","-6.20%"
"Mar 04, 2021","2,195.02","2,199.11","2,234.18","2,050.86","2.14K","-0.19%"
"Mar 03, 2021","2,199.11","2,160.37","2,356.89","2,151.46","1.75K","1.78%"
"Mar 02, 2021","2,160.69","2,169.19","2,286.11","2,095.27","1.82K","-0.39%"
"Mar 01, 2021","2,169.19","2,033.84","2,252.16","2,023.92","2.64K","6.65%"
"Feb 28, 2021","2,033.84","1,970.67","2,060.84","1,787.72","2.29K","3.21%"
"Feb 27, 2021","1,970.67","1,947.09","2,076.24","1,943.05","1.76K","1.21%"
"Feb 26, 2021","1,947.08","2,023.71","2,124.70","1,885.52","2.35K","-3.79%"
"Feb 25, 2021","2,023.71","2,231.53","2,319.95","2,021.05","2.78K","-9.31%"
"Feb 24, 2021","2,231.53","2,237.49","2,415.27","2,157.57","3.24K","0.03%"
"Feb 23, 2021","2,230.90","2,376.42","2,384.59","1,778.20","8.58K","-6.12%"
"Feb 22, 2021","2,376.42","2,616.29","2,619.14","2,034.65","5.22K","-9.17%"
"Feb 21, 2021","2,616.22","2,602.31","2,733.40","2,547.03","3.70K","0.53%"
"Feb 20, 2021","2,602.31","2,565.38","3,048.30","2,499.29","8.79K","1.44%"
"Feb 19, 2021","2,565.38","2,626.27","2,668.59","2,517.14","2.93K","-2.25%"
"Feb 18, 2021","2,624.44","2,608.16","2,693.78","2,549.58","3.21K","0.62%"
"Feb 17, 2021","2,608.18","2,486.47","2,616.76","2,372.21","2.68K","4.92%"
"Feb 16, 2021","2,485.77","2,465.05","2,586.52","2,419.02","2.53K","0.85%"
"Feb 15, 2021","2,464.72","2,513.64","2,598.45","2,215.79","4.14K","-2.01%"
"Feb 14, 2021","2,515.30","2,594.09","2,659.29","2,477.83","3.36K","-3.04%"
"Feb 13, 2021","2,594.09","2,738.87","2,789.26","2,521.95","5.13K","-5.29%"
"Feb 12, 2021","2,738.87","2,540.82","2,832.46","2,509.77","8.16K","7.79%"
"Feb 11, 2021","2,540.82","2,526.88","2,618.75","2,446.66","5.78K","0.62%"
"Feb 10, 2021","2,525.20","2,559.88","2,704.55","2,302.39","7.04K","-1.35%"
"Feb 09, 2021","2,559.88","2,493.45","2,628.97","2,441.69","6.01K","2.66%"
"Feb 08, 2021","2,493.45","2,470.97","2,718.04","2,407.69","7.94K","0.91%"
"Feb 07, 2021","2,470.97","2,514.45","2,650.60","2,241.74","7.83K","-1.59%"
"Feb 06, 2021","2,510.89","2,679.36","2,818.33","2,271.10","12.74K","-6.30%"
"Feb 05, 2021","2,679.71","2,102.70","3,083.97","2,102.70","25.10K","27.44%"
