"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","422.699","408.105","423.549","403.733","130.82K","3.65%"
"Apr 29, 2021","407.815","413.671","425.648","400.147","158.57K","-1.42%"
"Apr 28, 2021","413.671","402.339","439.466","400.269","252.21K","2.73%"
"Apr 27, 2021","402.663","405.122","412.479","385.078","168.31K","-0.61%"
"Apr 26, 2021","405.122","356.159","405.122","342.458","228.05K","13.86%"
"Apr 25, 2021","355.808","381.440","405.274","335.874","250.77K","-6.76%"
"Apr 24, 2021","381.601","354.452","396.622","338.842","247.78K","7.58%"
"Apr 23, 2021","354.725","347.243","354.728","313.765","329.28K","2.05%"
"Apr 22, 2021","347.591","375.652","390.540","344.527","240.04K","-7.48%"
"Apr 21, 2021","375.693","405.494","425.023","373.987","412.88K","-7.35%"
"Apr 20, 2021","405.494","357.969","414.338","328.085","475.85K","13.28%"
"Apr 19, 2021","357.969","338.439","365.315","306.048","308.36K","5.77%"
"Apr 18, 2021","338.439","363.717","375.399","286.990","322.25K","-6.89%"
"Apr 17, 2021","363.482","340.698","374.672","340.698","233.93K","6.74%"
"Apr 16, 2021","340.531","344.225","347.139","313.637","180.59K","-1.04%"
"Apr 15, 2021","344.112","320.512","347.769","318.396","154.65K","7.28%"
"Apr 14, 2021","320.756","327.352","330.712","308.743","153.09K","-2.01%"
"Apr 13, 2021","327.353","314.182","330.950","307.191","189.09K","4.01%"
"Apr 12, 2021","314.717","328.777","344.024","314.717","242.58K","-4.11%"
"Apr 11, 2021","328.191","292.179","328.909","291.646","211.49K","12.31%"
"Apr 10, 2021","292.212","273.351","298.703","273.351","200.52K","6.88%"
"Apr 09, 2021","273.393","269.409","290.116","265.931","152.24K","1.48%"
"Apr 08, 2021","269.409","257.286","271.714","251.392","166.89K","4.77%"
"Apr 07, 2021","257.137","270.329","279.740","252.711","210.09K","-4.88%"
"Apr 06, 2021","270.329","265.466","277.129","261.843","159.72K","1.84%"
"Apr 05, 2021","265.454","263.582","268.942","259.956","143.96K","0.71%"
"Apr 04, 2021","263.582","257.027","272.502","247.183","182.38K","2.55%"
"Apr 03, 2021","257.027","257.620","266.952","253.032","151.19K","-0.24%"
"Apr 02, 2021","257.652","250.320","260.935","249.010","132.27K","2.91%"
"Apr 01, 2021","250.358","246.141","255.029","244.510","279.85K","1.72%"
"Mar 31, 2021","246.130","244.082","263.284","242.401","264.54K","0.84%"
"Mar 30, 2021","244.082","234.399","246.987","232.353","119.48K","4.12%"
"Mar 29, 2021","234.429","232.299","241.761","230.829","141.45K","0.93%"
"Mar 28, 2021","232.278","221.055","232.756","217.660","131.99K","5.08%"
"Mar 27, 2021","221.039","221.409","223.509","214.027","178.96K","-0.17%"
"Mar 26, 2021","221.409","214.246","225.401","214.175","99.53K","3.34%"
"Mar 25, 2021","214.246","210.748","221.340","204.895","115.92K","1.59%"
"Mar 24, 2021","210.899","217.924","229.093","206.553","153.07K","-3.22%"
"Mar 23, 2021","217.924","216.815","224.842","211.694","149.13K","0.40%"
"Mar 22, 2021","217.062","231.663","233.117","217.045","123.89K","-6.35%"
"Mar 21, 2021","231.774","231.894","236.864","225.927","94.73K","-0.05%"
"Mar 20, 2021","231.894","231.288","237.269","230.642","89.01K","0.26%"
"Mar 19, 2021","231.288","228.177","235.592","224.080","114.16K","1.34%"
"Mar 18, 2021","228.220","236.256","240.150","228.220","126.62K","-3.40%"
"Mar 17, 2021","236.256","229.576","236.691","225.710","130.63K","2.91%"
"Mar 16, 2021","229.576","222.034","229.832","212.633","142.12K","3.40%"
"Mar 15, 2021","222.034","232.268","237.601","215.560","157.36K","-4.41%"
"Mar 14, 2021","232.275","238.966","240.560","229.124","143.51K","-2.81%"
"Mar 13, 2021","238.989","222.786","238.989","218.131","129.58K","7.26%"
"Mar 12, 2021","222.810","221.244","225.709","215.620","116.63K","0.71%"
"Mar 11, 2021","221.244","220.084","225.783","212.875","129.16K","0.37%"
"Mar 10, 2021","220.429","224.844","227.183","215.050","135.87K","-2.00%"
"Mar 09, 2021","224.918","220.914","228.711","218.314","146.02K","1.88%"
"Mar 08, 2021","220.767","208.761","220.985","204.045","156.22K","5.75%"
"Mar 07, 2021","208.761","204.614","210.031","202.500","118.64K","1.99%"
"Mar 06, 2021","204.691","205.938","208.039","198.448","140.69K","-0.61%"
"Mar 05, 2021","205.938","217.462","217.472","202.938","149.60K","-5.30%"
"Mar 04, 2021","217.462","219.126","223.509","210.018","153.14K","-0.76%"
"Mar 03, 2021","219.126","220.326","228.818","216.029","161.99K","-0.75%"
"Mar 02, 2021","220.779","230.252","232.346","211.363","133.07K","-4.11%"
"Mar 01, 2021","230.232","218.309","230.232","210.043","179.58K","5.69%"
"Feb 28, 2021","217.832","209.165","226.785","198.732","247.02K","4.14%"
"Feb 27, 2021","209.165","204.269","223.027","203.849","183.68K","2.40%"
"Feb 26, 2021","204.269","198.058","217.485","193.826","212.00K","3.66%"
