"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","0.52975","0.49149","0.54008","0.48538","816.49M","7.79%"
"Apr 29, 2021","0.49146","0.49752","0.50822","0.47718","475.72M","-1.25%"
"Apr 28, 2021","0.49767","0.50976","0.52100","0.47600","625.42M","-2.38%"
"Apr 27, 2021","0.50981","0.48579","0.52220","0.47899","666.59M","5.01%"
"Apr 26, 2021","0.48551","0.41625","0.48587","0.41476","820.29M","16.64%"
"Apr 25, 2021","0.41626","0.42530","0.44437","0.40137","618.93M","-2.11%"
"Apr 24, 2021","0.42525","0.45047","0.46071","0.41289","752.62M","-5.60%"
"Apr 23, 2021","0.45048","0.44995","0.45642","0.37495","1.58B","0.08%"
"Apr 22, 2021","0.45014","0.48966","0.51303","0.44628","944.24M","-8.40%"
"Apr 21, 2021","0.49141","0.52939","0.53736","0.48527","259.63M","-7.08%"
"Apr 20, 2021","0.52883","0.49972","0.53013","0.46923","931.80M","5.85%"
"Apr 19, 2021","0.49963","0.54499","0.56552","0.49163","914.65M","-8.24%"
"Apr 18, 2021","0.54448","0.59160","0.59973","0.46265","1.06B","-8.00%"
"Apr 17, 2021","0.59184","0.60992","0.64345","0.58982","697.13M","-3.25%"
"Apr 16, 2021","0.61172","0.63952","0.65337","0.56663","624.74M","-4.35%"
"Apr 15, 2021","0.63953","0.63529","0.64916","0.61442","806.19M","0.63%"
"Apr 14, 2021","0.63552","0.65625","0.68993","0.58923","1.66B","-3.17%"
"Apr 13, 2021","0.65630","0.59047","0.68255","0.57778","2.15B","11.17%"
"Apr 12, 2021","0.59038","0.58505","0.60679","0.56708","1.17B","0.96%"
"Apr 11, 2021","0.58480","0.56218","0.65560","0.55746","3.33B","4.01%"
"Apr 10, 2021","0.56226","0.48545","0.59219","0.48208","2.13B","15.83%"
"Apr 09, 2021","0.48541","0.50459","0.50786","0.47755","297.33M","-3.80%"
"Apr 08, 2021","0.50457","0.47587","0.50465","0.46777","391.41M","6.05%"
"Apr 07, 2021","0.47579","0.53965","0.54467","0.45357","1.49B","-11.83%"
"Apr 06, 2021","0.53960","0.53585","0.57678","0.48294","2.30B","0.72%"
"Apr 05, 2021","0.53576","0.42853","0.54887","0.42255","2.32B","25.03%"
"Apr 04, 2021","0.42850","0.40845","0.43451","0.40153","566.95M","4.90%"
"Apr 03, 2021","0.40850","0.43919","0.45824","0.40664","848.32M","-6.98%"
"Apr 02, 2021","0.43913","0.42404","0.46774","0.42404","624.03M","3.58%"
"Apr 01, 2021","0.42396","0.40568","0.42936","0.40081","774.78M","4.52%"
"Mar 31, 2021","0.40561","0.40105","0.40606","0.37993","550.37M","1.15%"
"Mar 30, 2021","0.40102","0.40444","0.41216","0.39853","436.36M","-0.85%"
"Mar 29, 2021","0.40444","0.39743","0.41116","0.39116","443.28M","1.83%"
"Mar 28, 2021","0.39717","0.38191","0.41203","0.37808","834.39M","4.00%"
"Mar 27, 2021","0.38190","0.38459","0.38974","0.37112","360.95M","-0.67%"
"Mar 26, 2021","0.38448","0.36125","0.38673","0.36071","444.95M","6.38%"
"Mar 25, 2021","0.36143","0.36199","0.37021","0.34367","715.71M","-0.19%"
"Mar 24, 2021","0.36213","0.39586","0.40266","0.35058","545.34M","-8.49%"
"Mar 23, 2021","0.39573","0.39263","0.40828","0.38775","387.46M","0.78%"
"Mar 22, 2021","0.39266","0.40358","0.42413","0.39178","732.88M","-2.70%"
"Mar 21, 2021","0.40357","0.41542","0.42317","0.39274","604.91M","-2.84%"
