"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","11.182700","10.902700","11.189300","10.894600","2.40M","2.62%"
"Apr 29, 2021","10.897500","11.047300","11.226500","10.621700","3.02M","-1.43%"
"Apr 28, 2021","11.055900","11.269700","11.269900","10.961800","3.22M","-1.84%"
"Apr 27, 2021","11.262700","10.705100","11.603900","10.705100","3.66M","4.74%"
"Apr 26, 2021","10.752800","9.106000","11.025400","9.106000","6.79M","17.27%"
"Apr 25, 2021","9.169400","8.673200","9.619100","8.618100","4.51M","5.81%"
"Apr 24, 2021","8.665600","9.935100","9.935100","8.665600","4.45M","-12.77%"
"Apr 23, 2021","9.934600","9.882800","9.956400","7.951800","14.65M","0.08%"
"Apr 22, 2021","9.927000","11.050500","11.174600","9.927000","4.80M","-9.91%"
"Apr 21, 2021","11.019200","11.749200","11.950700","11.019200","4.38M","-6.18%"
"Apr 20, 2021","11.744800","10.824100","11.784800","10.237400","7.89M","8.68%"
"Apr 19, 2021","10.806800","11.791700","12.211900","10.733500","6.82M","-8.13%"
"Apr 18, 2021","11.763000","13.280800","13.280800","10.856200","14.25M","-11.49%"
"Apr 17, 2021","13.290600","14.132200","14.814900","13.211200","7.54M","-6.37%"
"Apr 16, 2021","14.194900","12.592800","14.243700","12.163600","14.84M","12.96%"
"Apr 15, 2021","12.566500","12.199300","12.566500","12.008200","2.39M","3.52%"
"Apr 14, 2021","12.138700","12.415300","12.635300","11.670900","5.43M","-2.39%"
"Apr 13, 2021","12.436500","12.129800","12.436500","12.024300","3.04M","2.54%"
"Apr 12, 2021","12.127900","12.236000","12.236400","11.949900","1.77M","-0.61%"
"Apr 11, 2021","12.202400","12.420200","12.420200","12.052800","2.03M","-1.40%"
"Apr 10, 2021","12.375900","12.650800","12.829200","12.197100","2.43M","-2.03%"
"Apr 09, 2021","12.631800","12.914800","12.914800","12.483900","4.07M","-2.23%"
"Apr 08, 2021","12.920000","12.261100","13.241300","12.069700","5.07M","5.32%"
"Apr 07, 2021","12.267400","11.752400","13.548100","11.752400","14.10M","4.71%"
"Apr 06, 2021","11.715900","11.593800","11.715900","11.475300","2.86M","1.08%"
"Apr 05, 2021","11.590600","11.817800","11.817800","11.411500","2.80M","-1.67%"
"Apr 04, 2021","11.787800","11.363400","11.787800","11.363400","2.44M","3.49%"
"Apr 03, 2021","11.390300","11.691800","12.467500","11.343700","3.94M","-2.47%"
"Apr 02, 2021","11.678700","11.516800","12.096800","11.435700","3.91M","1.49%"
"Apr 01, 2021","11.507700","12.335700","12.335700","11.507700","4.82M","-6.49%"
"Mar 31, 2021","12.306200","12.900100","13.140000","12.149400","5.31M","-4.61%"
"Mar 30, 2021","12.901500","13.141500","13.141500","12.811700","3.17M","-1.74%"
"Mar 29, 2021","13.130200","12.866100","13.660200","12.866100","6.34M","2.00%"
"Mar 28, 2021","12.873200","11.808400","12.873200","11.808400","6.86M","9.11%"
"Mar 27, 2021","11.798700","12.625100","12.625100","11.737100","5.27M","-6.22%"
"Mar 26, 2021","12.581800","13.177100","13.450500","12.194500","9.11M","-4.45%"
"Mar 25, 2021","13.167800","11.214600","13.167800","11.000000","18.01M","17.07%"
"Mar 24, 2021","11.248100","12.903700","14.490400","11.248100","24.14M","-12.44%"
"Mar 23, 2021","12.846300","10.055500","13.330800","10.055500","29.04M","28.17%"
"Mar 22, 2021","10.023100","9.647500","10.718100","9.647500","14.03M","4.11%"
"Mar 21, 2021","9.627800","8.307600","9.627800","8.307600","8.33M","15.89%"
"Mar 20, 2021","8.307500","8.210000","8.465400","8.210000","3.61M","1.20%"
"Mar 19, 2021","8.209200","8.411500","8.765100","8.209200","6.91M","-2.53%"
"Mar 18, 2021","8.422200","7.871600","8.422200","7.503400","6.62M","7.19%"
"Mar 17, 2021","7.856900","6.998300","7.856900","6.933500","4.29M","11.97%"
"Mar 16, 2021","7.016700","6.778800","7.452000","6.640400","6.62M","4.26%"
"Mar 15, 2021","6.730000","7.345500","7.506800","6.730000","5.70M","-8.63%"
"Mar 14, 2021","7.366000","6.830800","7.609000","6.647700","9.04M","7.82%"
"Mar 13, 2021","6.831700","6.931300","6.985000","6.513200","5.89M","-1.51%"
"Mar 12, 2021","6.936100","7.052700","7.215400","6.400200","12.15M","-1.45%"
"Mar 11, 2021","7.038300","6.516000","7.964000","6.402900","16.83M","7.79%"
"Mar 10, 2021","6.529500","5.382600","6.529500","5.382600","8.84M","21.91%"
"Mar 09, 2021","5.355900","4.922800","5.401100","4.922800","6.14M","8.85%"
"Mar 08, 2021","4.920300","4.341300","4.954500","4.298000","6.40M","13.46%"
"Mar 07, 2021","4.336600","4.150000","4.480600","4.150000","4.04M","4.39%"
"Mar 06, 2021","4.154400","4.130400","4.156800","3.921400","3.91M","0.69%"
"Mar 05, 2021","4.126000","4.465200","4.568800","4.088300","9.39M","-7.48%"
"Mar 04, 2021","4.459600","3.981600","4.459600","3.886200","9.64M","11.72%"
"Mar 03, 2021","3.991800","3.708700","3.991800","3.708700","4.74M","7.84%"
"Mar 02, 2021","3.701600","3.284700","3.777400","3.264500","7.85M","12.74%"
"Mar 01, 2021","3.283400","3.139800","3.283400","3.123100","2.03M","4.93%"
"Feb 28, 2021","3.129000","3.154300","3.154300","2.866300","2.45M","-0.67%"
"Feb 27, 2021","3.150000","3.057600","3.233400","3.057600","2.23M","3.02%"
"Feb 26, 2021","3.057700","2.994100","3.122700","2.992700","2.81M","2.40%"
"Feb 25, 2021","2.986100","3.319500","3.405500","2.986100","3.40M","-10.09%"
"Feb 24, 2021","3.321100","3.060800","3.431300","3.060800","4.90M","8.45%"
"Feb 23, 2021","3.062400","3.334200","3.334200","2.839500","5.83M","-8.05%"
"Feb 22, 2021","3.330400","3.574400","3.574400","3.161100","5.91M","-6.82%"
"Feb 21, 2021","3.574100","3.681600","3.695800","3.526400","2.40M","-2.92%"
"Feb 20, 2021","3.681600","3.709500","3.790100","3.660800","5.07M","-0.71%"
"Feb 19, 2021","3.708000","3.563600","3.753700","3.540700","3.22M","4.11%"
"Feb 18, 2021","3.561700","3.510600","3.595300","3.505400","2.74M","1.51%"
"Feb 17, 2021","3.508800","3.405300","3.545200","3.344700","3.92M","3.07%"
"Feb 16, 2021","3.404300","3.397100","3.482200","3.305400","4.53M","0.60%"
"Feb 15, 2021","3.383900","3.211100","3.592400","3.075300","10.93M","6.30%"
"Feb 14, 2021","3.183400","3.353600","3.481200","3.170000","5.65M","-4.78%"
"Feb 13, 2021","3.343200","2.996200","3.361100","2.996200","7.76M","11.58%"
"Feb 12, 2021","2.996200","2.929900","2.996900","2.927700","4.45M","2.43%"
"Feb 11, 2021","2.925000","2.833700","3.002400","2.813000","5.77M","3.22%"
"Feb 10, 2021","2.833700","2.922900","2.940000","2.752500","7.36M","-2.48%"
"Feb 09, 2021","2.905900","2.921900","2.965800","2.844600","7.51M","-0.13%"
