"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","0.200978","0.191303","0.203292","0.186368","1.90B","5.07%"
"Apr 29, 2021","0.191286","0.198584","0.200491","0.181664","2.23B","-3.68%"
"Apr 28, 2021","0.198586","0.208670","0.214519","0.187647","2.82B","-4.82%"
"Apr 27, 2021","0.208644","0.188575","0.222943","0.185271","3.79B","10.63%"
"Apr 26, 2021","0.188596","0.167916","0.198814","0.165887","3.97B","12.36%"
"Apr 25, 2021","0.167855","0.178610","0.188001","0.156017","3.10B","-5.95%"
"Apr 24, 2021","0.178475","0.201506","0.205184","0.177488","3.64B","-11.40%"
"Apr 23, 2021","0.201431","0.190426","0.206231","0.132738","9.78B","5.78%"
"Apr 22, 2021","0.190424","0.225989","0.234925","0.178777","5.07B","-15.74%"
"Apr 21, 2021","0.225990","0.251204","0.255156","0.222660","2.72B","-10.37%"
"Apr 20, 2021","0.252146","0.228390","0.265806","0.205673","4.54B","10.40%"
"Apr 19, 2021","0.228395","0.253708","0.268384","0.222350","5.06B","-9.98%"
"Apr 18, 2021","0.253708","0.226727","0.254148","0.170231","6.22B","11.90%"
"Apr 17, 2021","0.226726","0.235809","0.278216","0.214754","7.99B","-3.91%"
"Apr 16, 2021","0.235951","0.175926","0.245302","0.158487","7.02B","34.12%"
"Apr 15, 2021","0.175929","0.168103","0.188880","0.168103","3.48B","4.66%"
"Apr 14, 2021","0.168103","0.153175","0.175127","0.153175","5.33B","9.74%"
"Apr 13, 2021","0.153176","0.128681","0.158674","0.128681","3.16B","19.04%"
"Apr 12, 2021","0.128681","0.139420","0.140153","0.127224","2.05B","-7.70%"
"Apr 11, 2021","0.139420","0.142235","0.145205","0.130760","2.42B","-1.98%"
"Apr 10, 2021","0.142241","0.126025","0.147547","0.124812","4.10B","12.87%"
"Apr 09, 2021","0.126024","0.116728","0.134187","0.115993","3.12B","7.97%"
"Apr 08, 2021","0.116727","0.105879","0.117932","0.104919","1.62B","10.25%"
"Apr 07, 2021","0.105879","0.111878","0.120774","0.099098","3.61B","-5.38%"
"Apr 06, 2021","0.111899","0.102355","0.115041","0.100052","2.98B","9.32%"
"Apr 05, 2021","0.102355","0.092466","0.106245","0.090392","3.01B","10.75%"
"Apr 04, 2021","0.092423","0.087417","0.093021","0.086884","993.76M","5.72%"
"Apr 03, 2021","0.087419","0.094042","0.097055","0.087266","1.64B","-7.05%"
"Apr 02, 2021","0.094049","0.087963","0.095192","0.086441","1.66B","6.92%"
"Apr 01, 2021","0.087964","0.087691","0.091411","0.086825","1.35B","0.31%"
"Mar 31, 2021","0.087692","0.089360","0.089900","0.082721","1.60B","-1.87%"
"Mar 30, 2021","0.089360","0.091993","0.092147","0.088085","1.25B","-2.86%"
"Mar 29, 2021","0.091987","0.090739","0.093356","0.088411","1.21B","1.38%"
"Mar 28, 2021","0.090738","0.088533","0.093849","0.088214","1.34B","2.49%"
"Mar 27, 2021","0.088533","0.089870","0.096382","0.088532","2.12B","-1.58%"
"Mar 26, 2021","0.089953","0.080829","0.090624","0.080682","1.82B","11.28%"
"Mar 25, 2021","0.080832","0.084991","0.086069","0.076115","3.11B","-4.89%"
"Mar 24, 2021","0.084991","0.083155","0.095364","0.081107","3.61B","2.21%"
"Mar 23, 2021","0.083156","0.088325","0.090761","0.079726","3.07B","-5.85%"
"Mar 22, 2021","0.088325","0.093621","0.098932","0.084137","3.59B","-5.66%"
"Mar 21, 2021","0.093621","0.089384","0.094900","0.087862","3.00B","4.74%"
"Mar 20, 2021","0.089385","0.080844","0.094157","0.080600","3.24B","10.47%"
"Mar 19, 2021","0.080912","0.077508","0.085759","0.075513","1.99B","4.39%"
"Mar 18, 2021","0.077508","0.076684","0.082568","0.076282","2.13B","1.08%"
"Mar 17, 2021","0.076682","0.074427","0.077598","0.071298","2.07B","3.03%"
"Mar 16, 2021","0.074424","0.078740","0.083006","0.070010","3.58B","-5.48%"
"Mar 15, 2021","0.078740","0.065953","0.083301","0.065953","5.82B","19.39%"
"Mar 14, 2021","0.065954","0.067480","0.068615","0.064565","1.45B","-2.26%"
"Mar 13, 2021","0.067478","0.065606","0.070123","0.061898","1.93B","2.85%"
"Mar 12, 2021","0.065606","0.067241","0.072434","0.063655","3.15B","-2.37%"
"Mar 11, 2021","0.067196","0.061377","0.069745","0.058201","2.72B","9.48%"
"Mar 10, 2021","0.061377","0.064450","0.065298","0.060309","2.02B","-4.77%"
"Mar 09, 2021","0.064449","0.065333","0.067848","0.062187","2.84B","-1.35%"
"Mar 08, 2021","0.065333","0.056619","0.066197","0.055595","3.90B","15.45%"
"Mar 07, 2021","0.056592","0.053301","0.059901","0.053299","3.75B","6.18%"
"Mar 06, 2021","0.053299","0.051993","0.054614","0.049487","1.86B","2.51%"
"Mar 05, 2021","0.051992","0.050219","0.053448","0.046070","2.25B","3.53%"
"Mar 04, 2021","0.050219","0.052897","0.054900","0.047094","3.15B","-5.09%"
"Mar 03, 2021","0.052910","0.043798","0.054374","0.043244","3.00B","20.82%"
"Mar 02, 2021","0.043792","0.045758","0.046533","0.041559","1.77B","-4.29%"
"Mar 01, 2021","0.045755","0.039730","0.045755","0.039478","1.94B","15.34%"
"Feb 28, 2021","0.039669","0.040785","0.041108","0.036421","2.06B","-2.73%"
"Feb 27, 2021","0.040782","0.039554","0.042518","0.039554","2.23B","3.08%"
"Feb 26, 2021","0.039562","0.039304","0.042153","0.036510","3.26B","0.64%"
"Feb 25, 2021","0.039312","0.042792","0.044665","0.038931","2.44B","-8.13%"
