"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","319.07","286.67","330.28","282.39","708.40K","11.30%"
"Apr 29, 2021","286.68","288.81","289.65","274.15","387.73K","-0.84%"
"Apr 28, 2021","289.11","292.96","298.69","276.03","529.37K","-1.29%"
"Apr 27, 2021","292.88","278.70","292.88","274.71","524.09K","5.08%"
"Apr 26, 2021","278.72","246.79","280.78","244.37","288.93K","13.03%"
"Apr 25, 2021","246.60","246.22","268.98","233.82","693.79K","0.12%"
"Apr 24, 2021","246.29","262.47","262.84","239.49","245.48K","-6.18%"
"Apr 23, 2021","262.51","276.07","281.99","233.13","1.16M","-4.99%"
"Apr 22, 2021","276.31","295.33","313.62","274.86","843.37K","-6.43%"
"Apr 21, 2021","295.30","317.64","328.06","292.48","755.75K","-7.06%"
"Apr 20, 2021","317.73","293.78","329.63","275.30","1.30M","8.29%"
"Apr 19, 2021","293.41","316.98","326.23","278.28","1.05M","-7.44%"
"Apr 18, 2021","317.00","356.07","360.46","258.11","1.78M","-10.92%"
"Apr 17, 2021","355.87","378.92","411.41","353.77","443.69K","-6.10%"
"Apr 16, 2021","378.98","326.99","394.95","319.18","1.68M","15.78%"
"Apr 15, 2021","327.32","305.34","329.78","298.36","645.59K","7.19%"
"Apr 14, 2021","305.38","293.73","318.42","284.91","1.01M","4.02%"
"Apr 13, 2021","293.59","280.45","300.73","277.26","596.08K","4.68%"
"Apr 12, 2021","280.47","286.71","298.16","272.11","523.71K","-2.16%"
"Apr 11, 2021","286.65","283.50","294.66","278.64","526.08K","1.21%"
"Apr 10, 2021","283.23","264.61","286.43","263.26","552.85K","7.05%"
"Apr 09, 2021","264.59","267.81","273.89","261.51","370.68K","-1.11%"
"Apr 08, 2021","267.57","253.08","269.58","251.21","478.34K","5.73%"
"Apr 07, 2021","253.07","275.75","293.32","244.83","1.31M","-8.13%"
"Apr 06, 2021","275.46","273.56","282.70","256.91","836.88K","0.71%"
"Apr 05, 2021","273.52","270.25","278.57","253.51","821.49K","1.26%"
"Apr 04, 2021","270.11","222.95","276.25","221.03","1.28M","21.16%"
"Apr 03, 2021","222.93","244.00","249.65","221.92","518.15K","-8.63%"
"Apr 02, 2021","244.00","233.53","250.22","229.22","491.88K","4.53%"
"Apr 01, 2021","233.43","222.44","236.92","220.78","689.81K","4.93%"
"Mar 31, 2021","222.46","216.30","225.66","205.52","479.78K","2.88%"
"Mar 30, 2021","216.24","214.90","219.90","210.32","395.84K","0.61%"
"Mar 29, 2021","214.92","207.74","217.62","203.80","464.46K","3.44%"
"Mar 28, 2021","207.78","201.56","207.78","196.06","272.98K","3.08%"
"Mar 27, 2021","201.57","203.60","204.79","193.03","303.13K","-1.01%"
"Mar 26, 2021","203.62","189.10","203.83","188.31","267.16K","7.67%"
"Mar 25, 2021","189.11","190.98","195.78","182.47","433.87K","-1.04%"
"Mar 24, 2021","191.10","206.82","214.15","187.76","377.42K","-7.60%"
"Mar 23, 2021","206.82","206.58","212.78","202.87","205.59K","0.14%"
"Mar 22, 2021","206.54","221.01","222.60","205.55","360.39K","-6.55%"
"Mar 21, 2021","221.03","227.32","230.41","219.41","246.74K","-2.74%"
"Mar 20, 2021","227.26","225.66","236.49","224.35","301.22K","0.71%"
"Mar 19, 2021","225.66","225.85","231.25","219.65","234.55K","-0.08%"
"Mar 18, 2021","225.84","229.36","237.39","222.51","400.71K","-1.52%"
"Mar 17, 2021","229.33","223.65","230.97","217.01","350.94K","2.54%"
"Mar 16, 2021","223.65","221.07","224.93","211.10","352.57K","1.20%"
"Mar 15, 2021","221.00","231.87","240.12","218.44","473.24K","-4.67%"
"Mar 14, 2021","231.82","243.46","249.92","231.82","319.10K","-4.81%"
"Mar 13, 2021","243.55","224.80","245.05","217.40","518.24K","8.35%"
"Mar 12, 2021","224.79","235.33","239.33","215.39","505.51K","-4.45%"
"Mar 11, 2021","235.26","234.33","244.07","225.42","519.50K","0.40%"
"Mar 10, 2021","234.32","244.12","249.87","226.18","652.65K","-4.02%"
"Mar 09, 2021","244.13","218.18","245.63","214.79","692.94K","11.86%"
"Mar 08, 2021","218.25","214.83","218.94","206.53","202.58K","1.61%"
"Mar 07, 2021","214.78","208.75","214.85","206.63","170.07K","2.90%"
"Mar 06, 2021","208.74","205.72","210.59","200.63","159.04K","1.47%"
"Mar 05, 2021","205.72","211.12","211.48","196.25","316.21K","-2.55%"
"Mar 04, 2021","211.10","222.53","229.82","206.35","354.05K","-5.13%"
"Mar 03, 2021","222.51","215.93","235.57","214.07","360.30K","3.06%"
"Mar 02, 2021","215.89","224.87","230.02","209.58","409.16K","-3.71%"
"Mar 01, 2021","224.21","196.71","224.21","196.01","385.42K","14.01%"
"Feb 28, 2021","196.65","210.60","211.86","181.80","417.67K","-6.60%"
"Feb 27, 2021","210.55","206.58","224.09","205.56","349.08K","1.89%"
"Feb 26, 2021","206.66","218.42","223.41","202.18","483.71K","-5.26%"
"Feb 25, 2021","218.12","237.37","248.54","217.22","539.93K","-8.19%"
"Feb 24, 2021","237.57","231.54","262.70","218.62","865.68K","2.51%"
"Feb 23, 2021","231.75","271.44","272.87","200.89","1.17M","-14.67%"
"Feb 22, 2021","271.57","301.56","303.05","228.18","932.47K","-9.94%"
"Feb 21, 2021","301.56","297.57","316.70","290.58","499.84K","1.33%"
"Feb 20, 2021","297.59","324.02","332.17","282.09","727.04K","-8.14%"
"Feb 19, 2021","323.95","281.32","336.17","269.99","1.19M","15.22%"
"Feb 18, 2021","281.16","265.98","303.24","258.53","1.01M","5.79%"
"Feb 17, 2021","265.76","249.68","270.60","235.46","656.96K","6.41%"
"Feb 16, 2021","249.76","259.54","272.21","242.97","810.32K","-3.67%"
"Feb 15, 2021","259.27","230.72","289.22","197.14","2.06M","12.24%"
"Feb 14, 2021","231.00","267.65","277.91","223.11","1.05M","-13.73%"
"Feb 13, 2021","267.77","169.83","296.33","169.83","2.79M","57.69%"
"Feb 12, 2021","169.81","164.53","173.43","156.37","606.92K","3.21%"
"Feb 11, 2021","164.53","139.70","167.70","138.34","936.05K","17.79%"
"Feb 10, 2021","139.68","137.28","148.69","129.05","697.92K","1.63%"
"Feb 09, 2021","137.44","126.21","137.89","124.22","467.07K","8.83%"
"Feb 08, 2021","126.29","118.33","126.49","114.82","357.24K","6.72%"
"Feb 07, 2021","118.33","118.94","121.86","112.42","339.68K","-0.53%"
"Feb 06, 2021","118.97","120.35","122.89","115.63","384.02K","-1.16%"
"Feb 05, 2021","120.37","111.04","122.35","110.49","442.40K","8.40%"
"Feb 04, 2021","111.04","116.79","118.48","110.57","309.27K","-4.91%"
"Feb 03, 2021","116.78","109.84","118.44","109.84","469.20K","6.32%"
"Feb 02, 2021","109.83","103.54","110.82","103.32","305.74K","6.01%"
"Feb 01, 2021","103.61","102.46","105.64","100.19","289.78K","1.10%"
"Jan 31, 2021","102.48","105.17","106.22","100.22","201.44K","-2.55%"
"Jan 30, 2021","105.16","104.55","106.12","100.58","223.30K","0.59%"
"Jan 29, 2021","104.55","102.79","110.16","101.12","450.67K","1.72%"
"Jan 28, 2021","102.79","96.53","105.52","94.81","196.57K","6.36%"
"Jan 27, 2021","96.64","104.90","104.93","94.33","185.66K","-7.90%"
"Jan 26, 2021","104.93","104.96","106.22","101.12","157.06K","-0.03%"
"Jan 25, 2021","104.96","106.13","113.03","104.94","367.81K","-1.10%"
"Jan 24, 2021","106.13","105.27","110.79","103.72","327.21K","0.80%"
"Jan 23, 2021","105.29","104.78","109.82","102.32","356.34K","0.49%"
"Jan 22, 2021","104.78","99.86","108.20","94.21","811.27K","4.91%"
"Jan 21, 2021","99.88","121.17","121.89","99.77","755.38K","-17.56%"
"Jan 20, 2021","121.16","124.59","127.05","112.18","621.32K","-2.75%"
"Jan 19, 2021","124.59","129.30","134.31","124.09","357.78K","-3.64%"
"Jan 18, 2021","129.30","124.27","132.21","121.15","306.16K","4.05%"
"Jan 17, 2021","124.27","125.00","126.96","120.23","254.41K","-0.58%"
"Jan 16, 2021","125.00","124.45","132.26","121.45","328.56K","0.40%"
"Jan 15, 2021","124.50","132.95","136.51","117.27","408.06K","-6.36%"
"Jan 14, 2021","132.95","133.04","137.72","129.19","431.10K","-0.11%"
"Jan 13, 2021","133.09","128.55","137.42","120.22","648.02K","3.55%"
"Jan 12, 2021","128.53","125.18","135.38","116.47","1.09M","2.52%"
"Jan 11, 2021","125.37","146.93","147.81","106.42","2.05M","-14.73%"
"Jan 10, 2021","147.03","109.93","158.05","109.93","2.84M","33.75%"
"Jan 09, 2021","109.93","96.29","111.19","94.20","365.98K","14.21%"
"Jan 08, 2021","96.25","98.99","100.84","92.21","314.15K","-2.68%"
"Jan 07, 2021","98.90","94.29","108.10","93.11","537.76K","4.89%"
"Jan 06, 2021","94.29","89.14","94.74","88.05","549.24K","5.76%"
"Jan 05, 2021","89.16","88.93","90.11","85.77","341.21K","0.26%"
"Jan 04, 2021","88.93","89.58","96.88","85.20","632.48K","-0.59%"
"Jan 03, 2021","89.46","86.95","92.00","85.27","521.28K","2.92%"
"Jan 02, 2021","86.92","88.13","93.75","84.89","696.64K","-1.44%"
"Jan 01, 2021","88.19","99.47","102.73","86.35","668.80K","-11.34%"
