"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","0.29980","0.28620","0.29980","0.27990","73.67M","4.72%"
"Apr 29, 2021","0.28630","0.28710","0.29850","0.27630","101.43M","-0.24%"
"Apr 28, 2021","0.28700","0.30340","0.30930","0.28330","73.79M","-5.53%"
"Apr 27, 2021","0.30380","0.28410","0.30600","0.28260","86.06M","6.60%"
"Apr 26, 2021","0.28500","0.24640","0.28500","0.24640","98.83M","15.81%"
"Apr 25, 2021","0.24610","0.24380","0.25950","0.24380","145.04M","0.90%"
"Apr 24, 2021","0.24390","0.26800","0.26800","0.24390","74.30M","-9.13%"
"Apr 23, 2021","0.26840","0.25800","0.26840","0.22010","218.69M","3.71%"
"Apr 22, 2021","0.25880","0.29140","0.30190","0.25880","116.56M","-11.28%"
"Apr 21, 2021","0.29170","0.32430","0.32430","0.29170","116.98M","-10.05%"
"Apr 20, 2021","0.32430","0.28890","0.33140","0.27250","252.52M","12.14%"
"Apr 19, 2021","0.28920","0.30940","0.31430","0.28370","142.14M","-6.56%"
"Apr 18, 2021","0.30950","0.34250","0.34250","0.29950","164.33M","-9.66%"
"Apr 17, 2021","0.34260","0.35110","0.35920","0.34260","101.69M","-1.89%"
"Apr 16, 2021","0.34920","0.37990","0.37990","0.34600","136.05M","-8.08%"
"Apr 15, 2021","0.37990","0.37490","0.38020","0.37010","107.86M","1.12%"
"Apr 14, 2021","0.37570","0.40970","0.40970","0.36900","190.95M","-8.48%"
"Apr 13, 2021","0.41050","0.35730","0.41050","0.33880","124.52M","15.24%"
"Apr 12, 2021","0.35620","0.34820","0.35940","0.33790","104.58M","2.30%"
"Apr 11, 2021","0.34820","0.33010","0.36310","0.33010","153.50M","5.58%"
"Apr 10, 2021","0.32980","0.33820","0.34050","0.32630","81.19M","-2.48%"
"Apr 09, 2021","0.33820","0.32830","0.35650","0.32830","119.07M","3.11%"
"Apr 08, 2021","0.32800","0.29940","0.32800","0.29940","76.10M","9.44%"
"Apr 07, 2021","0.29970","0.32580","0.32580","0.29970","91.58M","-8.07%"
"Apr 06, 2021","0.32600","0.31780","0.32730","0.31440","122.14M","2.61%"
"Apr 05, 2021","0.31770","0.32480","0.32480","0.30830","98.01M","-2.22%"
"Apr 04, 2021","0.32490","0.31130","0.32490","0.31130","60.16M","4.34%"
"Apr 03, 2021","0.31140","0.35270","0.35270","0.31140","83.93M","-11.61%"
"Apr 02, 2021","0.35230","0.34500","0.35230","0.33730","69.60M","2.00%"
"Apr 01, 2021","0.34540","0.36130","0.36130","0.33860","82.72M","-4.27%"
"Mar 31, 2021","0.36080","0.38600","0.38600","0.35600","103.53M","-6.65%"
"Mar 30, 2021","0.38650","0.37060","0.39130","0.36670","135.77M","4.23%"
"Mar 29, 2021","0.37080","0.33810","0.40550","0.33810","233.99M","9.67%"
"Mar 28, 2021","0.33810","0.33810","0.33930","0.33400","48.03M","-0.09%"
"Mar 27, 2021","0.33840","0.34630","0.34630","0.33150","67.80M","-1.77%"
