"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","16.6920","16.2400","16.7530","16.0160","5.04M","2.78%"
"Apr 29, 2021","16.2410","16.8260","16.8260","16.1150","6.28M","-3.43%"
"Apr 28, 2021","16.8170","17.6940","17.8040","16.8170","8.82M","-5.09%"
"Apr 27, 2021","17.7180","17.6140","18.9850","17.4790","11.33M","0.53%"
"Apr 26, 2021","17.6250","17.7060","17.8790","17.2510","9.44M","-0.20%"
"Apr 25, 2021","17.6600","15.6894","18.3970","15.6894","12.49M","13.40%"
"Apr 24, 2021","15.5732","14.1084","16.0195","13.7540","9.57M","10.43%"
"Apr 23, 2021","14.1029","13.6461","14.1029","12.9861","10.47M","3.48%"
"Apr 22, 2021","13.6291","13.2663","15.3416","13.2663","11.45M","2.78%"
"Apr 21, 2021","13.2607","13.4413","14.1528","13.2607","7.25M","-1.35%"
"Apr 20, 2021","13.4417","13.8576","13.8576","13.0957","6.30M","-3.21%"
"Apr 19, 2021","13.8871","13.4034","16.1639","13.4034","11.84M","3.71%"
"Apr 18, 2021","13.3900","15.2084","15.2084","11.7499","9.67M","-12.46%"
"Apr 17, 2021","15.2963","15.7799","16.1143","15.2303","4.78M","-2.86%"
"Apr 16, 2021","15.7462","16.8568","16.8568","15.7277","6.57M","-6.65%"
"Apr 15, 2021","16.8683","15.3176","17.0987","15.0941","5.76M","10.38%"
"Apr 14, 2021","15.2814","15.6637","16.2759","15.2265","6.37M","-2.16%"
"Apr 13, 2021","15.6191","14.6219","16.5332","14.6219","7.93M","6.66%"
"Apr 12, 2021","14.6433","15.1376","15.1376","14.4062","3.93M","-3.06%"
"Apr 11, 2021","15.1048","15.4795","15.5325","15.0444","2.52M","-2.44%"
"Apr 10, 2021","15.4824","15.6586","15.8300","15.0669","3.69M","-1.10%"
"Apr 09, 2021","15.6543","15.7674","16.7430","15.6543","4.72M","-0.64%"
"Apr 08, 2021","15.7548","15.4555","16.0257","15.4127","3.71M","2.10%"
"Apr 07, 2021","15.4315","16.7099","16.7099","15.0479","6.58M","-7.80%"
"Apr 06, 2021","16.7368","17.5576","17.5576","16.5261","5.35M","-4.59%"
"Apr 05, 2021","17.5422","18.2109","18.2109","17.5422","3.39M","-3.49%"
"Apr 04, 2021","18.1766","17.9606","18.4403","17.9606","1.89M","1.02%"
"Apr 03, 2021","17.9938","18.4692","18.5705","17.9938","2.43M","-2.63%"
"Apr 02, 2021","18.4790","18.4402","18.9549","18.4355","4.21M","0.24%"
"Apr 01, 2021","18.4356","18.6906","18.8793","18.0862","4.85M","-1.21%"
"Mar 31, 2021","18.6605","18.6153","19.1630","18.1425","7.30M","0.24%"
"Mar 30, 2021","18.6164","18.8900","18.8900","18.2871","3.53M","-1.40%"
"Mar 29, 2021","18.8812","18.5294","19.2162","18.2817","3.20M","1.91%"
"Mar 28, 2021","18.5281","18.7300","19.0815","18.2478","2.66M","-0.78%"
"Mar 27, 2021","18.6746","18.4413","19.0208","18.1338","3.11M","1.47%"
"Mar 26, 2021","18.4038","16.3653","18.8145","16.3653","6.25M","12.44%"
"Mar 25, 2021","16.3673","16.4895","16.8874","16.0479","7.02M","-0.98%"
"Mar 24, 2021","16.5292","16.8783","18.5755","16.1936","12.67M","-2.39%"
"Mar 23, 2021","16.9342","19.3417","19.5639","16.9342","7.78M","-12.30%"
"Mar 22, 2021","19.3084","21.9375","21.9375","19.3084","6.91M","-11.89%"
"Mar 21, 2021","21.9140","20.8230","22.1177","20.8230","7.03M","5.20%"
"Mar 20, 2021","20.8301","19.7951","21.1806","19.7951","4.92M","4.74%"
"Mar 19, 2021","19.8873","18.9109","21.7497","18.9109","10.90M","5.11%"
"Mar 18, 2021","18.9211","18.5285","19.0787","17.9000","7.42M","2.32%"
"Mar 17, 2021","18.4919","19.8550","19.8550","17.7952","15.21M","-6.93%"
"Mar 16, 2021","19.8695","16.2994","20.1139","16.2994","22.66M","21.30%"
"Mar 15, 2021","16.3811","15.8360","16.3811","14.9346","10.21M","3.47%"
"Mar 14, 2021","15.8324","14.6092","16.3309","13.9750","12.98M","8.59%"
"Mar 13, 2021","14.5800","14.1971","14.5800","12.8554","8.28M","2.97%"
"Mar 12, 2021","14.1599","10.8230","14.1599","10.8230","16.47M","31.13%"
"Mar 11, 2021","10.7981","11.1537","11.2790","10.5226","9.73M","-2.78%"
"Mar 10, 2021","11.1071","11.6570","11.6570","11.0477","9.93M","-4.85%"
"Mar 09, 2021","11.6734","9.7195","11.6734","9.7195","21.75M","20.94%"
"Mar 08, 2021","9.6519","8.2553","9.6519","8.1224","12.40M","16.96%"
"Mar 07, 2021","8.2524","8.2601","8.2601","7.9377","6.18M","0.12%"
"Mar 06, 2021","8.2421","8.4903","8.8427","8.2009","12.65M","-2.58%"
"Mar 05, 2021","8.4601","7.4666","8.6874","7.0887","20.14M","12.84%"
"Mar 04, 2021","7.4973","7.1761","8.1048","7.1761","15.77M","4.09%"
"Mar 03, 2021","7.2027","6.4587","7.6503","6.4587","18.03M","11.41%"
"Mar 02, 2021","6.4648","6.7549","6.7549","6.3859","7.43M","-4.16%"
"Mar 01, 2021","6.7453","5.3751","6.7453","5.3751","10.94M","26.09%"
"Feb 28, 2021","5.3498","5.8855","5.9881","5.0631","7.02M","-9.47%"
"Feb 27, 2021","5.9097","5.8751","6.1087","5.8580","5.58M","0.18%"
"Feb 26, 2021","5.8988","5.9895","6.2739","5.7171","7.98M","-0.97%"
"Feb 25, 2021","5.9567","6.6719","7.2074","5.9567","11.91M","-10.65%"
