"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","1.0002","1.0003","1.0009","0.9999","256.57M","-0.02%"
"Apr 29, 2021","1.0003","1.0007","1.0011","1.0001","236.02M","-0.04%"
"Apr 28, 2021","1.0007","1.0002","1.0018","0.9997","216.65M","0.00%"
"Apr 27, 2021","1.0007","1.0014","1.0017","1.0003","230.73M","-0.02%"
"Apr 26, 2021","1.0009","1.0011","1.0025","1.0007","253.53M","-0.02%"
"Apr 25, 2021","1.0012","1.0023","1.0023","1.0010","159.11M","-0.06%"
"Apr 24, 2021","1.0018","1.0006","1.0024","1.0005","150.26M","0.10%"
"Apr 23, 2021","1.0008","1.0004","1.0016","0.9998","507.06M","0.05%"
"Apr 22, 2021","1.0004","1.0002","1.0010","0.9995","386.37M","0.02%"
"Apr 21, 2021","1.0002","1.0004","1.0007","0.9999","266.37M","-0.06%"
"Apr 20, 2021","1.0008","1.0007","1.0019","1.0000","390.71M","0.01%"
"Apr 19, 2021","1.0007","1.0004","1.0014","1.0000","416.56M","-0.04%"
"Apr 18, 2021","1.0011","0.9994","1.0033","0.9975","586.16M","0.10%"
"Apr 17, 2021","1.0001","1.0000","1.0007","0.9990","250.93M","-0.07%"
"Apr 16, 2021","1.0008","1.0010","1.0018","0.9998","525.47M","-0.01%"
"Apr 15, 2021","1.0009","0.9993","1.0016","0.9987","252.16M","0.11%"
"Apr 14, 2021","0.9998","0.9992","1.0009","0.9992","351.03M","0.01%"
"Apr 13, 2021","0.9997","1.0000","1.0006","0.9981","319.54M","-0.03%"
"Apr 12, 2021","1.0000","1.0002","1.0007","0.9995","324.87M","-0.02%"
"Apr 11, 2021","1.0002","1.0002","1.0006","0.9996","122.84M","0.00%"
"Apr 10, 2021","1.0001","0.9999","1.0008","0.9997","227.66M","0.03%"
"Apr 09, 2021","0.9998","0.9999","1.0008","0.9995","210.47M","-0.02%"
"Apr 08, 2021","1.0000","1.0000","1.0007","0.9995","236.09M","0.01%"
"Apr 07, 2021","0.9999","1.0001","1.0003","0.9985","351.88M","-0.02%"
"Apr 06, 2021","1.0001","1.0001","1.0005","0.9952","287.66M","0.00%"
"Apr 05, 2021","1.0001","1.0004","1.0007","0.9994","206.84M","-0.01%"
