"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","0.132371","0.121243","0.132917","0.118891","4.37B","9.18%"
"Apr 29, 2021","0.121244","0.122764","0.125208","0.117723","3.51B","-1.23%"
"Apr 28, 2021","0.122760","0.125954","0.129740","0.116243","4.31B","-2.53%"
"Apr 27, 2021","0.125949","0.117353","0.128733","0.115573","4.96B","7.36%"
"Apr 26, 2021","0.117313","0.101675","0.117368","0.100258","5.39B","15.45%"
"Apr 25, 2021","0.101616","0.102675","0.109949","0.096539","4.11B","-1.09%"
"Apr 24, 2021","0.102731","0.109125","0.114246","0.102224","6.67B","-5.83%"
"Apr 23, 2021","0.109092","0.110115","0.112478","0.090961","13.15B","-0.93%"
"Apr 22, 2021","0.110115","0.122742","0.129626","0.109575","7.03B","-10.28%"
"Apr 21, 2021","0.122729","0.132787","0.135531","0.122719","4.05B","-7.80%"
"Apr 20, 2021","0.133113","0.129888","0.134769","0.117528","6.90B","2.41%"
"Apr 19, 2021","0.129985","0.142995","0.147772","0.129926","6.75B","-9.10%"
"Apr 18, 2021","0.142995","0.155502","0.156821","0.124927","10.57B","-8.07%"
"Apr 17, 2021","0.155539","0.161091","0.179874","0.153232","9.94B","-3.54%"
"Apr 16, 2021","0.161244","0.163900","0.176554","0.135076","13.08B","-1.62%"
"Apr 15, 2021","0.163900","0.140274","0.168534","0.136165","10.66B","16.84%"
"Apr 14, 2021","0.140272","0.146551","0.156136","0.132745","10.84B","-4.29%"
"Apr 13, 2021","0.146566","0.128793","0.154986","0.128097","11.48B","13.80%"
"Apr 12, 2021","0.128793","0.122120","0.137215","0.121644","9.45B","5.46%"
"Apr 11, 2021","0.122120","0.126402","0.126701","0.118177","4.88B","-3.38%"
"Apr 10, 2021","0.126386","0.115856","0.127211","0.112643","6.68B","9.09%"
"Apr 09, 2021","0.115856","0.123625","0.125059","0.114471","4.97B","-6.28%"
"Apr 08, 2021","0.123616","0.110318","0.125937","0.110254","8.12B","12.37%"
"Apr 07, 2021","0.110012","0.124147","0.125561","0.103777","13.36B","-11.42%"
"Apr 06, 2021","0.124191","0.136682","0.138641","0.111913","13.77B","-9.23%"
"Apr 05, 2021","0.136823","0.127618","0.148982","0.126033","17.68B","7.20%"
"Apr 04, 2021","0.127630","0.101442","0.128362","0.099920","15.32B","25.79%"
"Apr 03, 2021","0.101466","0.092310","0.110775","0.088157","15.40B","9.98%"
"Apr 02, 2021","0.092258","0.085409","0.092384","0.084295","7.45B","8.05%"
"Apr 01, 2021","0.085388","0.092776","0.094622","0.082448","11.17B","-7.96%"
"Mar 31, 2021","0.092770","0.065996","0.097103","0.065549","21.21B","40.57%"
"Mar 30, 2021","0.065996","0.064732","0.066764","0.064223","3.67B","1.94%"
"Mar 29, 2021","0.064739","0.063622","0.065756","0.063250","2.87B","1.75%"
"Mar 28, 2021","0.063625","0.063619","0.064660","0.062203","3.57B","0.01%"
"Mar 27, 2021","0.063617","0.064688","0.067486","0.062798","5.75B","-1.69%"
"Mar 26, 2021","0.064712","0.055302","0.065963","0.055281","7.38B","17.00%"
"Mar 25, 2021","0.055308","0.055781","0.056265","0.053315","5.34B","-0.86%"
"Mar 24, 2021","0.055786","0.058626","0.062213","0.054364","7.27B","-4.94%"
"Mar 23, 2021","0.058683","0.059298","0.061400","0.057534","4.77B","-1.04%"
