,date,num_tweets,replies_sum,retweets_sum,likes_sum,subjectivity_sum,polarity_sum,replies_avg,retweets_avg,likes_avg,subjectivity_avg,polarity_avg,tone_most_common
0,2021-01-01,240,437,556,2278,76.67192760942763,39.081515790343936,1.8208333333333333,2.316666666666667,9.491666666666667,0.3194663650392817,0.16283964912643298,Positive
0,2021-01-02,133,297,326,964,48.31075439771868,26.39388255428434,2.2330827067669174,2.4511278195488724,7.2481203007518795,0.3632387548700653,0.19845024476905518,Positive
0,2021-01-03,109,74,207,796,37.48514826839827,20.380029739357873,0.6788990825688074,1.8990825688073394,7.302752293577981,0.34390044282934185,0.1869727499023658,Positive
0,2021-01-04,139,113,304,1414,46.74111907768159,20.661090626315225,0.8129496402877698,2.1870503597122304,10.172661870503598,0.33626704372432786,0.14864093975766357,Positive
0,2021-01-05,204,188,314,1746,76.25478136810283,31.76555507455508,0.9215686274509803,1.5392156862745099,8.558823529411764,0.37379794788285686,0.15571350526742686,Positive
0,2021-01-06,174,111,297,1333,57.30184674122174,24.449729888167383,0.6379310344827587,1.706896551724138,7.660919540229885,0.3293209582828836,0.14051568901245626,Positive
0,2021-01-07,210,127,366,1181,73.70293435730937,34.70991515602452,0.6047619047619047,1.7428571428571429,5.623809523809523,0.35096635408242544,0.16528531026678348,Positive
0,2021-01-08,319,343,411,2165,113.88844817219821,44.0413569944234,1.0752351097178683,1.2884012539184952,6.786833855799373,0.3570170789097121,0.1380606802333022,Positive
0,2021-01-09,336,333,520,2654,106.46318614718614,40.00886139294737,0.9910714285714286,1.5476190476190477,7.898809523809524,0.3168547206761493,0.1190739922409147,Positive
0,2021-01-10,121,212,353,1283,47.54871191308692,16.60847913660413,1.7520661157024793,2.9173553719008263,10.603305785123966,0.39296456126518114,0.13726015815375317,Positive
0,2021-01-11,294,632,592,2912,104.7711216587645,44.49066524621213,2.1496598639455784,2.0136054421768708,9.904761904761905,0.35636435938355276,0.15132879335446298,Positive
0,2021-01-12,279,946,971,3275,100.93415420360067,46.066314814814824,3.390681003584229,3.4802867383512543,11.738351254480287,0.361771162020074,0.165112239479623,Positive
0,2021-01-13,233,118,209,1334,80.67288626717195,36.822954931972795,0.5064377682403434,0.8969957081545065,5.725321888412017,0.3462355633784205,0.15803843318443256,Positive
0,2021-01-14,290,402,775,7318,103.44257267137635,44.44078996103105,1.3862068965517242,2.6724137931034484,25.23448275862069,0.3566985264530215,0.15324410331390012,Positive
0,2021-01-15,260,234,309,1688,86.41880146705148,34.63978294853296,0.9,1.1884615384615385,6.492307692307692,0.33238000564250564,0.13322993441743444,Neutral
0,2021-01-16,589,456,807,4784,205.93285539923036,75.26385254329001,0.7741935483870968,1.3701188455008488,8.122241086587437,0.3496313334452129,0.12778243216178276,Positive
