,date,num_tweets,replies_sum,retweets_sum,likes_sum,subjectivity_sum,polarity_sum,replies_avg,retweets_avg,likes_avg,subjectivity_avg,polarity_avg,tone_most_common
0,2021-01-01,2489,2358,3589,32842,540.5808765216271,187.5627273153547,0.9473684210526315,1.441944556046605,13.194857372438731,0.21718797771057718,0.0753566602311591,Neutral
0,2021-01-02,7176,5597,8399,46027,1606.92228159142,569.6667071947167,0.7799609810479375,1.1704292084726868,6.41401895206243,0.22393008383381055,0.07938499264140399,Neutral
0,2021-01-03,2967,2507,4689,18846,710.2477510564834,263.4335528854583,0.8449612403100775,1.5803842264914054,6.351870576339737,0.23938245738337824,0.08878785065232873,Neutral
0,2021-01-04,1538,1668,2126,8322,330.47028485403433,134.77133097317162,1.0845253576072822,1.3823146944083224,5.410923276983095,0.21487014619898234,0.08762765342859023,Neutral
0,2021-01-05,1500,887,1449,7056,300.2666682299186,121.7187588214737,0.5913333333333334,0.966,4.704,0.20017777881994547,0.08114583921431578,Neutral
0,2021-01-06,962,2541,2927,7602,212.99108058608073,81.8073678751804,2.641372141372141,3.042619542619543,7.902286902286902,0.22140444967368045,0.08503884394509395,Neutral
0,2021-01-07,1172,977,1379,6311,219.1341322150071,84.58052839781752,0.8336177474402731,1.1766211604095562,5.38481228668942,0.18697451554181502,0.07216768634626063,Neutral
0,2021-01-08,1126,960,1510,7597,251.14653048340557,115.24488410894664,0.8525754884547069,1.3410301953818828,6.746891651865009,0.22304309989645246,0.10234892016780339,Neutral
0,2021-01-09,1928,1163,1467,8289,352.830261844639,181.5232130456349,0.6032157676348547,0.7608921161825726,4.299273858921162,0.18300324784472866,0.09415104411080649,Neutral
0,2021-01-10,959,384,667,3487,194.09634202834198,82.8590243608659,0.40041710114702816,0.6955161626694474,3.6360792492179352,0.20239451723497606,0.08640148525637739,Neutral
0,2021-01-11,725,501,378,2110,170.6519553270803,79.20080461985931,0.6910344827586207,0.5213793103448275,2.910344827586207,0.235382007347697,0.1092424891308404,Neutral
0,2021-01-12,506,693,735,2712,110.63631523569022,51.987810808982665,1.3695652173913044,1.4525691699604744,5.359683794466403,0.21864884433930876,0.10274270910866143,Neutral
0,2021-01-13,473,378,753,2363,90.70176262626262,43.795696056547605,0.7991543340380549,1.5919661733615222,4.995771670190275,0.1917584833536208,0.09259132358678145,Neutral
0,2021-01-14,796,513,803,4825,177.14350168350182,89.72502991339172,0.6444723618090452,1.0087939698492463,6.061557788944723,0.22254208754208754,0.112719886825869,Neutral
0,2021-01-15,574,560,737,3240,114.17057034632035,56.53875279581532,0.975609756097561,1.28397212543554,5.644599303135888,0.1989034326590947,0.09849956933068868,Neutral
0,2021-01-16,469,299,786,3274,98.15816955266959,45.56139936474115,0.6375266524520256,1.67590618336887,6.980810234541578,0.20929247239375173,0.09714584086298755,Neutral
0,2021-01-17,445,388,976,3173,89.67787852425354,38.13121649531024,0.8719101123595505,2.1932584269662923,7.130337078651685,0.20152332252641242,0.08568812695575337,Neutral
0,2021-01-18,493,703,651,3069,131.95867694805187,65.1612878787879,1.4259634888438133,1.3204868154158216,6.225152129817444,0.26766465912383763,0.13217299772573604,Neutral
0,2021-01-19,412,316,1425,3291,112.9076695526696,51.556891910173185,0.7669902912621359,3.45873786407767,7.987864077669903,0.27404774163269313,0.12513808716061445,Neutral
0,2021-01-20,439,498,556,2234,110.49237644300143,40.60727250180375,1.1343963553530751,1.2665148063781322,5.088838268792711,0.25169106251253176,0.09249948178087414,Neutral
0,2021-01-21,479,807,1840,6342,114.66189286573211,43.96838351628531,1.6847599164926932,3.8413361169102296,13.24008350730689,0.23937764690131977,0.09179203239307995,Neutral
0,2021-01-22,415,728,1099,3615,90.54710437710436,43.5140523538961,1.7542168674698795,2.648192771084337,8.710843373493976,0.21818579367976962,0.10485313820215929,Neutral
0,2021-01-23,336,359,770,2380,72.64881072631073,31.365237263821246,1.068452380952381,2.2916666666666665,7.083333333333333,0.2162166985902105,0.09334892042803944,Neutral
0,2021-01-24,442,493,841,3347,93.45303451178455,38.52673276665464,1.1153846153846154,1.9027149321266967,7.572398190045249,0.211432204777793,0.08716455377071185,Neutral
0,2021-01-25,363,566,799,3053,85.31297979797978,42.358429383116885,1.559228650137741,2.201101928374656,8.410468319559229,0.23502198291454487,0.11668988810776001,Neutral
0,2021-01-26,553,1016,1703,6792,134.2033988696489,63.75233850784632,1.837251356238698,3.0795660036166366,12.282097649186257,0.2426824572688045,0.11528451809737128,Neutral
0,2021-01-27,6772,5100,12655,70528,1137.2436531140825,320.7420792697884,0.7531010041346722,1.8687241582988778,10.414648552864737,0.16793320335411718,0.04736297685614136,Neutral
0,2021-01-28,162042,138092,234589,1610492,27550.009837580303,6563.422406075412,0.8521988126535096,1.4477049160094297,9.938731933696202,0.1700177104552013,0.040504451969704425,Neutral
0,2021-01-29,109334,101785,202116,1189101,19968.2045427949,5522.170973405558,0.930954689300675,1.8486106792031756,10.875857464283754,0.18263490353225134,0.05050735337045334,Neutral
0,2021-01-30,50506,51481,109056,501500,10338.54434282214,2688.1239546375327,1.019304637072823,2.1592682057577317,9.929513325149488,0.20469932964048215,0.0532238536933768,Neutral
0,2021-01-31,34195,31873,97872,373574,6947.360608507324,2007.7328842399986,0.9320953355753765,2.8621728322854216,10.924813569235269,0.20316890213502656,0.05871422384091342,Neutral
0,2021-02-01,16067,13623,28078,98639,4153.298819237628,1590.078033242668,0.8478869732993092,1.7475571046243854,6.139229476566876,0.2584987128423253,0.09896545921719775,Neutral
0,2021-02-02,15586,16524,33930,118653,4360.224016894491,1004.7635524534908,1.0601822148081612,2.176953676376235,7.612793532657514,0.279752599569773,0.06446577392874772,Neutral
0,2021-02-03,9898,7848,22529,96678,1887.672726485799,614.4293562695339,0.7928874520105071,2.276116387148919,9.767427763184482,0.1907125405623172,0.06207611196903757,Neutral
0,2021-02-04,33502,26725,56002,229720,6728.867062326481,1710.2906508546612,0.797713569339144,1.671601695421169,6.85690406542893,0.20084971232543017,0.05105040447897782,Neutral
0,2021-02-05,16722,16194,32896,151683,3799.0551631450508,1084.5811616438918,0.9684248295658414,1.9672288003827294,9.070864729099391,0.22718904216870325,0.0648595360389831,Neutral
0,2021-02-06,14436,16221,52836,239370,2806.076362552114,972.6287392914611,1.1236492103075644,3.660016625103907,16.581463009143807,0.19438046290884806,0.06737522438982092,Neutral
0,2021-02-07,44427,43623,92560,453037,8994.037277057118,3154.246034719807,0.9819028968870281,2.0834177414635247,10.197334953969433,0.20244529851344767,0.0709984026542385,Neutral
0,2021-02-08,17408,15767,35345,159481,3754.1256627548887,1150.5600771646396,0.9057329963235294,2.0303883272058822,9.161362591911764,0.21565519661965213,0.06609375443271145,Neutral
0,2021-02-09,20031,22313,50866,189904,4455.425037648935,1450.1290852035252,1.1139234187010134,2.539363985821976,9.480505216913784,0.22242649082166935,0.07239424318324125,Neutral
0,2021-02-10,17187,16199,35886,144394,3807.233110616997,981.6184923413798,0.9425146913364753,2.0879734683190785,8.401349857450398,0.22151818878320217,0.05711401014379293,Neutral
0,2021-02-11,13307,12712,34813,123712,2826.5328521756,1216.033240883548,0.95528669121515,2.6161418802134215,9.296761103178778,0.21240947262159782,0.09138297444078589,Neutral
0,2021-02-12,10096,12743,35074,127295,2130.245194472185,752.3570359671826,1.2621830427892236,3.47404912836767,12.6084587955626,0.2109989297218893,0.07452030863383316,Neutral
0,2021-02-13,9792,8586,23699,88814,2199.527229084394,799.9338357254558,0.8768382352941176,2.4202410130718954,9.070057189542483,0.22462492127087497,0.08169258943274631,Neutral
0,2021-02-14,10328,10092,28229,111752,2477.1450164583885,924.0974759558094,0.97714949651433,2.7332494190549963,10.820294345468628,0.23984750353005513,0.08947496862469101,Neutral
0,2021-02-15,5138,7843,13447,90520,1179.4976175907482,400.9789488155803,1.5264694433631762,2.61716621253406,17.61775009731413,0.22956356901337927,0.07804183511397035,Neutral
0,2021-02-16,3625,3690,8189,31853,834.2541021154894,316.2734225753622,1.0179310344827586,2.259034482758621,8.78703448275862,0.23013906265254538,0.08724784071044497,Neutral
0,2021-02-17,7435,7976,21220,80266,1688.282108288544,632.535098421235,1.0727639542703429,2.8540685944855415,10.795696032279757,0.2270722405230043,0.08507533267266093,Neutral
0,2021-02-18,4964,6120,13977,60759,1117.3376165217073,379.7235439005878,1.2328767123287672,2.815672844480258,12.239927477840451,0.22508815804224536,0.07649547620882106,Neutral
0,2021-02-19,3814,3612,7629,33416,872.1889990221421,327.9099485536158,0.9470372312532774,2.0002621919244885,8.76140534871526,0.2286809121715107,0.08597534047027176,Neutral
0,2021-02-20,7686,8000,22188,84685,1610.844584235867,603.1449793329542,1.0408534998698933,2.886807181889149,11.01808482956024,0.20958165290604608,0.07847319533345694,Neutral
0,2021-02-21,3813,3864,9802,43519,938.2244262404278,344.5018829459562,1.013375295043273,2.5706792551796487,11.413322842905849,0.24605938270139688,0.090349300536574,Neutral
0,2021-02-22,2775,2205,4458,19419,725.3165588531849,269.74741996566786,0.7945945945945946,1.6064864864864865,6.997837837837838,0.26137533652366984,0.09720627746510557,Neutral
0,2021-02-23,3127,6012,9344,35182,679.3013397158392,259.06846784451267,1.9226095299008634,2.988167572753438,11.25103933482571,0.21723739677513262,0.0828488864229335,Neutral
