,date,num_tweets,replies_sum,retweets_sum,likes_sum,subjectivity_sum,polarity_sum,replies_avg,retweets_avg,likes_avg,subjectivity_avg,polarity_avg,tone_most_common
0,2021-01-01,1326,1782,1718,15135,462.8968385785288,183.12620416859912,1.3438914027149322,1.2956259426847663,11.414027149321267,0.34909263844534616,0.13810422637149267,Positive
0,2021-01-02,1739,1875,1868,13213,557.8592992681929,200.25909364263373,1.078205865439908,1.0741805635422657,7.598044853364002,0.3207931565659529,0.11515761566568938,Neutral
0,2021-01-03,2184,3263,3406,22087,670.3899556587596,262.66441447972977,1.494047619047619,1.5595238095238095,10.113095238095237,0.30695510790236225,0.12026758904749553,Neutral
0,2021-01-04,1203,1406,1460,9471,445.65080928991733,177.36285871040337,1.168744804655029,1.2136325852036576,7.872817955112219,0.37044955053193385,0.14743379776425883,Positive
0,2021-01-05,1336,2072,1759,13853,440.72671481296476,176.88360942703093,1.5508982035928143,1.3166167664670658,10.369011976047904,0.32988526557856646,0.13239791124777792,Positive
0,2021-01-06,1485,3487,3641,13762,491.3103235600382,177.4320291468408,2.348148148148148,2.4518518518518517,9.267340067340067,0.33084870273403216,0.11948284791033069,Positive
0,2021-01-07,973,2506,3244,9673,335.8559759623094,121.96946420256064,2.5755395683453237,3.3340184994861253,9.94141829393628,0.34517572041347305,0.1253540228186645,Positive
0,2021-01-08,946,3287,3345,11283,325.26889572266396,132.90093424633497,3.474630021141649,3.535940803382664,11.927061310782241,0.3438360419901306,0.14048724550352543,Positive
0,2021-01-09,973,1617,1570,9755,333.6254881127466,126.04870571446004,1.6618705035971224,1.6135662898252827,10.025693730729701,0.3428833382453721,0.12954646013819127,Positive
0,2021-01-10,914,9106,29030,33543,328.1131356097606,125.8031619923407,9.962800875273523,31.76148796498906,36.699124726477024,0.35898592517479283,0.13764022099818457,Positive
0,2021-01-11,924,1040,954,6758,327.2030795712223,124.98442352092351,1.1255411255411256,1.0324675324675325,7.313852813852814,0.35411588698184243,0.1352645276200471,Positive
0,2021-01-12,792,1784,1782,8744,277.39266400971184,117.48486021782429,2.2525252525252526,2.25,11.04040404040404,0.35024326263852473,0.14833946997200062,Positive
0,2021-01-13,2912,3271,5337,27445,1080.085518037527,485.996467902749,1.123282967032967,1.832760989010989,9.424793956043956,0.3709084883370597,0.16689439145011903,Positive
0,2021-01-14,4578,5036,5568,42248,1666.9335887398156,619.2363052033381,1.1000436871996504,1.2162516382699868,9.228484054172128,0.3641183024770274,0.13526350048128846,Positive
0,2021-01-15,3859,3761,4612,37764,1300.58701035076,495.08347971776374,0.9746048199015289,1.1951282715729463,9.785954910598601,0.33702695266928223,0.12829320542051434,Positive
0,2021-01-16,12538,18850,21049,111340,4771.5302547632,1470.306153095479,1.5034295740947519,1.6788163981496251,8.880204179294944,0.38056550125722555,0.11726799753513248,Positive
0,2021-01-17,5870,13242,16415,74561,2226.5689038263454,684.8347259580403,2.25587734241908,2.7964224872231687,12.702044293015332,0.3793132715206699,0.11666690391107808,Positive
0,2021-01-18,2291,4832,7938,26893,853.6223064248389,333.5198745655738,2.1091226538629417,3.4648625054561326,11.738542121344391,0.37259812589473423,0.14557829531452335,Positive
0,2021-01-19,1397,1056,1885,9595,503.506928021053,235.23202873197016,0.7559055118110236,1.3493199713672155,6.868289191123837,0.3604201345891575,0.1683836998797211,Positive
0,2021-01-20,1900,4095,3917,18215,586.1528228451447,231.20604164981293,2.155263157894737,2.061578947368421,9.586842105263157,0.3085014857079707,0.121687390342007,Neutral
0,2021-01-21,1668,2017,2907,11221,610.5227260200121,289.34930769973823,1.209232613908873,1.7428057553956835,6.727218225419664,0.3660208189568416,0.1734708079734639,Positive
0,2021-01-22,1644,1906,2484,15795,579.3898123265616,255.84448104962127,1.159367396593674,1.510948905109489,9.607664233576642,0.35242689314267783,0.15562316365548762,Positive
0,2021-01-23,1695,2102,2421,17179,568.9738262993621,237.72976473061013,1.2401179941002949,1.4283185840707964,10.135103244837758,0.3356777736279422,0.14025354851363425,Positive
0,2021-01-24,1624,1578,4314,14951,570.0138601834673,229.1841701782787,0.9716748768472906,2.6564039408866993,9.20628078817734,0.35099375627060797,0.1411232574989402,Positive
0,2021-01-25,1245,3813,3592,11841,442.2826764075864,200.94384551517675,3.0626506024096387,2.885140562248996,9.510843373493977,0.3552471296446483,0.16140067912865616,Positive
