,date,num_tweets,replies_sum,retweets_sum,likes_sum,subjectivity_sum,polarity_sum,replies_avg,retweets_avg,likes_avg,subjectivity_avg,polarity_avg,tone_most_common
0,2021-01-01,43,15,37,308,9.454906204906207,3.397943722943723,0.3488372093023256,0.8604651162790697,7.162790697674419,0.21988153964898152,0.07902194704520285,Neutral
0,2021-01-02,71,43,83,525,23.96004509379509,11.955124458874458,0.6056338028169014,1.1690140845070423,7.394366197183099,0.33746542385626893,0.16838203463203463,Positive
0,2021-01-03,81,57,113,602,17.566129148629148,5.553881673881674,0.7037037037037037,1.3950617283950617,7.432098765432099,0.21686579195838454,0.06856644041829228,Neutral
0,2021-01-04,120,92,150,978,37.01699494949496,22.455286796536797,0.7666666666666667,1.25,8.15,0.30847495791245794,0.18712738997113998,Positive
0,2021-01-05,204,114,372,1598,56.14190957190957,25.87366612554112,0.5588235294117647,1.8235294117647058,7.833333333333333,0.2752054390779881,0.12683169669382907,Neutral
0,2021-01-06,145,133,256,1130,38.43260582010581,18.86366792929293,0.9172413793103448,1.7655172413793103,7.793103448275862,0.2650524539317643,0.13009426158133056,Neutral
0,2021-01-07,215,260,326,2152,51.497817460317485,25.192361111111108,1.2093023255813953,1.5162790697674418,10.009302325581395,0.2395247323735696,0.11717377260981912,Neutral
0,2021-01-08,567,481,818,4641,162.14880501442994,64.03491512737119,0.8483245149911817,1.4426807760141094,8.185185185185185,0.28597672842051153,0.11293635824933189,Neutral
0,2021-01-09,185,129,316,1472,57.80998075998076,34.06270709325398,0.6972972972972973,1.7081081081081082,7.956756756756757,0.3124863824863825,0.18412274104461604,Positive
0,2021-01-10,170,299,232,1501,51.27753156565657,15.318004035894656,1.7588235294117647,1.3647058823529412,8.829411764705883,0.30163253862150924,0.09010590609349801,Neutral
0,2021-01-11,216,175,379,1836,65.31739357864357,25.209795556006483,0.8101851851851852,1.7546296296296295,8.5,0.3023953406418684,0.11671201646299305,Neutral
0,2021-01-12,206,142,410,2050,54.98302164502167,29.40481385281385,0.6893203883495146,1.9902912621359223,9.951456310679612,0.2669078720632119,0.14274181481948472,Neutral
0,2021-01-13,413,665,995,6439,113.79821067821065,54.22934568903316,1.6101694915254237,2.4092009685230025,15.590799031476998,0.27554046169058277,0.13130592176521352,Neutral
0,2021-01-14,333,333,741,3159,99.78135511710516,43.99136801046179,1.0,2.225225225225225,9.486486486486486,0.29964370906037574,0.13210621024162691,Positive
0,2021-01-15,214,315,388,2724,61.71407287157286,25.042153454184717,1.47196261682243,1.8130841121495327,12.728971962616823,0.288383518091462,0.1170194086644145,Neutral
0,2021-01-16,199,172,362,2097,45.93417132867133,21.630878968253974,0.864321608040201,1.8190954773869348,10.537688442211055,0.2308249815511122,0.10869788426258274,Neutral
0,2021-01-17,163,201,387,2226,37.67602272727272,21.813777056277054,1.2331288343558282,2.374233128834356,13.656441717791411,0.23114124372559952,0.1338268531059942,Neutral
0,2021-01-18,303,443,862,4899,85.2405399230399,38.974951298701285,1.462046204620462,2.844884488448845,16.168316831683168,0.2813219139374255,0.12863020230594488,Neutral
0,2021-01-19,890,1198,3212,12101,245.87340307840282,118.38302632913958,1.3460674157303372,3.608988764044944,13.596629213483146,0.2762622506498911,0.13301463632487598,Neutral
0,2021-01-20,1886,1504,1873,10762,282.7877854136601,108.97433301767683,0.7974549310710498,0.9931071049840933,5.706256627783669,0.1499405012797775,0.05778066437840761,Neutral
0,2021-01-21,643,1026,1731,6295,178.94650789356152,71.95161880282414,1.5956454121306376,2.6920684292379473,9.7900466562986,0.278299390192164,0.11189987372134394,Neutral
0,2021-01-22,466,423,924,4858,146.2413038720539,60.77078291847042,0.907725321888412,1.9828326180257512,10.42489270386266,0.3138225404979697,0.13040940540444296,Positive
0,2021-01-23,338,364,746,3668,98.35554560254553,45.92859203643578,1.0769230769230769,2.2071005917159763,10.85207100591716,0.2909927384690698,0.13588340839182186,Neutral
0,2021-01-24,445,526,973,5148,121.8134032766176,45.238938677270134,1.1820224719101124,2.1865168539325843,11.568539325842696,0.27373798489127543,0.10166053635341608,Neutral
0,2021-01-25,292,256,650,2799,74.51782136844636,35.74120885191197,0.8767123287671232,2.2260273972602738,9.585616438356164,0.25519801838509026,0.12240140017778074,Neutral
0,2021-01-26,255,179,471,2237,72.02649230399228,30.97832581770082,0.7019607843137254,1.8470588235294119,8.772549019607844,0.2824568325646757,0.12148363065765025,Neutral
0,2021-01-27,315,244,684,2695,84.88210197210189,38.45805916305916,0.7746031746031746,2.1714285714285713,8.555555555555555,0.2694669903876253,0.12208907670812433,Neutral
0,2021-01-28,385,606,741,3991,97.80956399156395,29.942885642135657,1.574025974025974,1.9246753246753248,10.366233766233766,0.25405081556250386,0.07777372894061206,Neutral
0,2021-01-29,266,278,523,2382,73.05391895141895,32.3755602340368,1.0451127819548873,1.9661654135338347,8.954887218045112,0.2746387930504472,0.12171263245878496,Neutral
0,2021-01-30,292,325,557,3381,72.74936702186704,29.507763460497834,1.1130136986301369,1.9075342465753424,11.57876712328767,0.2491416678831062,0.10105398445375971,Neutral
0,2021-01-31,254,215,504,2809,57.16439874939873,22.76148764430015,0.8464566929133859,1.984251968503937,11.059055118110237,0.22505668798975884,0.08961215607992182,Neutral
0,2021-02-01,452,491,952,4382,116.52244237244227,47.29864312770565,1.086283185840708,2.106194690265487,9.694690265486726,0.25779301409832384,0.10464301576926023,Neutral
0,2021-02-02,317,307,622,2962,84.9339216339216,34.626272997835514,0.9684542586750788,1.9621451104100947,9.343848580441641,0.26793035215748146,0.10923114510358202,Neutral
0,2021-02-03,352,346,946,4028,91.49752071737792,36.77587344694823,0.9829545454545454,2.6875,11.443181818181818,0.25993613840164165,0.10447691320155746,Neutral
0,2021-02-04,352,384,602,3073,97.42269549894544,31.219696969696976,1.0909090909090908,1.7102272727272727,8.730113636363637,0.27676902130382247,0.08869232093663912,Neutral
0,2021-02-05,567,509,1002,4999,123.09539802789809,43.56968875417118,0.8977072310405644,1.7671957671957672,8.81657848324515,0.2170994674213369,0.0768424845752578,Neutral
0,2021-02-06,356,483,714,3807,81.7401316738817,30.48834821428571,1.3567415730337078,2.00561797752809,10.6938202247191,0.22960711144348786,0.08564142756821828,Neutral
0,2021-02-07,277,224,420,2060,92.5077230639731,44.24343907828285,0.8086642599277978,1.516245487364621,7.436823104693141,0.33396289914791716,0.15972360678080444,Positive
0,2021-02-08,378,374,909,3813,97.59954461279456,38.47952728174604,0.9894179894179894,2.4047619047619047,10.087301587301587,0.2581998534730016,0.10179769122155034,Neutral
0,2021-02-09,542,485,2665,6475,141.6980434704184,54.58357302940119,0.8948339483394834,4.916974169741698,11.94649446494465,0.26143550455796766,0.10070769931623828,Neutral
0,2021-02-10,437,506,1050,5054,124.0480874218374,48.63018353879195,1.1578947368421053,2.402745995423341,11.565217391304348,0.2838629002788041,0.11128188452812801,Neutral
0,2021-02-11,680,761,1568,7441,185.33620430495438,57.76039141414146,1.1191176470588236,2.3058823529411763,10.94264705882353,0.2725532416249328,0.08494175207961972,Neutral
0,2021-02-12,492,424,911,4176,149.198324074074,59.677986201298715,0.8617886178861789,1.8516260162601625,8.487804878048781,0.30324862616681725,0.12129671992133881,Neutral
0,2021-02-13,249,243,534,2614,68.3311601731602,26.812799738455976,0.9759036144578314,2.144578313253012,10.497991967871487,0.2744223300126915,0.1076819266604658,Neutral
0,2021-02-14,305,216,577,2692,84.20900493025493,39.83768601190478,0.7081967213114754,1.8918032786885246,8.826229508196722,0.2760950981319834,0.13061536397345824,Neutral
0,2021-02-15,483,987,1125,6689,130.780436026936,52.612641662157294,2.0434782608695654,2.329192546583851,13.848861283643892,0.2707669482959338,0.10892886472496333,Neutral
0,2021-02-16,372,421,796,3498,98.76513498075991,45.72722222222224,1.131720430107527,2.139784946236559,9.403225806451612,0.26549767467946234,0.1229226403823178,Neutral
0,2021-02-17,342,410,825,4249,84.27940692640689,36.56544719516597,1.1988304093567252,2.412280701754386,12.423976608187134,0.2464310144046986,0.10691651226656709,Neutral
0,2021-02-18,423,551,798,4469,119.20642274788702,49.86399239525353,1.3026004728132388,1.8865248226950355,10.56501182033097,0.28181187410847996,0.11788177871218336,Neutral
0,2021-02-19,544,577,988,5506,150.03142141654638,40.43903429383118,1.0606617647058822,1.8161764705882353,10.121323529411764,0.2757930540745339,0.07433646009895435,Neutral
0,2021-02-20,358,304,657,2894,95.58128184315684,29.81452696608947,0.8491620111731844,1.835195530726257,8.083798882681565,0.2669868207909409,0.08328080158125549,Neutral
0,2021-02-21,283,187,276,2165,62.05488275613275,28.001373782467525,0.6607773851590106,0.9752650176678446,7.65017667844523,0.21927520408527476,0.09894478368363085,Neutral
0,2021-02-22,342,193,421,2207,105.2763401875902,37.28588203463201,0.564327485380117,1.2309941520467835,6.453216374269005,0.30782555610406487,0.10902304688488898,Neutral
