,date,num_tweets,replies_sum,retweets_sum,likes_sum,subjectivity_sum,polarity_sum,replies_avg,retweets_avg,likes_avg,subjectivity_avg,polarity_avg,tone_most_common
0,2021-01-01,478,633,476,4606,137.36254509379506,52.31785392992428,1.3242677824267783,0.99581589958159,9.635983263598327,0.2873693412004082,0.10945157725925575,Neutral
0,2021-01-02,368,461,337,2570,109.82039117364118,59.24810493326117,1.252717391304348,0.9157608695652174,6.983695652173913,0.2984249760153293,0.16100028514473147,Neutral
0,2021-01-03,330,397,378,2803,98.34417478354985,39.34643750563672,1.2030303030303031,1.1454545454545455,8.493939393939394,0.2980126508592418,0.11923162880495976,Neutral
0,2021-01-04,229,148,97,871,69.85487914862917,27.56966743326118,0.6462882096069869,0.42358078602620086,3.8034934497816595,0.30504314038702685,0.12039156084393529,Neutral
0,2021-01-05,331,314,247,1909,89.42884379509381,49.77419699224386,0.9486404833836858,0.7462235649546828,5.767371601208459,0.27017777581599334,0.1503752174992262,Neutral
0,2021-01-06,267,220,256,2000,80.77537863327149,35.311059585008245,0.8239700374531835,0.9588014981273408,7.49063670411985,0.30252950798978084,0.1322511594944129,Neutral
0,2021-01-07,307,237,164,1278,78.72160774410769,31.27336489898988,0.7719869706840391,0.5342019543973942,4.162866449511401,0.2564221750622402,0.10186763810745894,Neutral
0,2021-01-08,216,177,138,1103,58.99775974025972,26.92740530303031,0.8194444444444444,0.6388888888888888,5.106481481481482,0.27313777657527655,0.12466391343995512,Neutral
0,2021-01-09,222,153,225,1526,61.84116648629153,29.412770652958155,0.6891891891891891,1.0135135135135136,6.873873873873874,0.278563813001313,0.13248995789620788,Neutral
0,2021-01-10,183,180,176,1152,47.5593961038961,21.581599257079723,0.9836065573770492,0.9617486338797814,6.295081967213115,0.25988741040380386,0.11793223637748484,Neutral
0,2021-01-11,228,197,227,1436,75.52307844007842,40.27389754689756,0.8640350877192983,0.9956140350877193,6.298245614035087,0.3312415721056072,0.17663990152148049,Positive
0,2021-01-12,134,87,125,792,33.00128547378547,10.362433261183263,0.6492537313432836,0.9328358208955224,5.91044776119403,0.2462782498043692,0.07733159150136762,Neutral
0,2021-01-13,240,160,197,1482,65.75017063492065,26.253568880772008,0.6666666666666666,0.8208333333333333,6.175,0.27395904431216933,0.10938987033655004,Neutral
0,2021-01-14,167,118,158,979,40.597287157287155,18.05753990800866,0.7065868263473054,0.9461077844311377,5.862275449101796,0.24309752788794703,0.10812898148508178,Neutral
0,2021-01-15,162,53,107,676,47.113823953823946,28.320740440115433,0.3271604938271605,0.6604938271604939,4.172839506172839,0.29082607378903674,0.17481938543281134,Positive
0,2021-01-16,248,206,153,1511,64.74278860028858,29.279078148956074,0.8306451612903226,0.6169354838709677,6.092741935483871,0.2610596314527766,0.11806079898772613,Neutral
0,2021-01-17,187,97,167,1187,62.40303066378064,26.434876082251076,0.5187165775401069,0.893048128342246,6.347593582887701,0.33370604633037787,0.14136297370187742,Neutral
0,2021-01-18,182,355,205,1507,66.59166245791243,30.766295093795073,1.9505494505494505,1.1263736263736264,8.280219780219781,0.3658882552632552,0.16904557743843454,Positive
