,date,num_tweets,replies_sum,retweets_sum,likes_sum,subjectivity_sum,polarity_sum,replies_avg,retweets_avg,likes_avg,subjectivity_avg,polarity_avg,tone_most_common
0,2021-01-01,223,231,437,1223,74.28702521244188,31.796136063011065,1.0358744394618835,1.9596412556053813,5.484304932735426,0.33312567359839407,0.14258356978928727,Positive
0,2021-01-02,421,880,1063,2928,172.0877505210841,79.65247677669551,2.0902612826603324,2.5249406175771973,6.954869358669834,0.4087595024253773,0.1891982821299181,Positive
0,2021-01-03,582,846,997,4347,217.18613696488728,85.08146003844242,1.4536082474226804,1.7130584192439862,7.469072164948454,0.37317205664069925,0.1461880756674269,Positive
0,2021-01-04,611,862,1848,8166,226.81650915189317,97.71299070960457,1.4108019639934533,3.0245499181669393,13.364975450081833,0.3712217825726564,0.15992306171784704,Positive
0,2021-01-05,461,392,454,1929,201.06301848988784,81.6836986394199,0.8503253796095445,0.9848156182212582,4.184381778741866,0.4361453763338125,0.17718806646295007,Positive
0,2021-01-06,450,1507,1627,5222,185.14095622895627,78.61189410849556,3.348888888888889,3.6155555555555554,11.604444444444445,0.41142434717545834,0.17469309801887928,Positive
0,2021-01-07,438,676,1465,4700,166.7895392015393,79.72808465608459,1.54337899543379,3.3447488584474887,10.730593607305936,0.38079803470671053,0.18202759053900608,Positive
0,2021-01-08,360,314,385,1492,146.57944534169545,61.57941523493869,0.8722222222222222,1.0694444444444444,4.144444444444445,0.40716512594915377,0.171053931208163,Positive
0,2021-01-09,549,726,1237,3400,209.63737469937485,85.67623054954292,1.3224043715846994,2.2531876138433518,6.193078324225866,0.3818531415289157,0.15605870774051558,Positive
0,2021-01-10,381,1007,1034,2627,157.5500613275613,69.24248361592109,2.643044619422572,2.713910761154856,6.89501312335958,0.413517221332182,0.18173880214152524,Positive
0,2021-01-11,331,2367,2051,2852,139.66947246272258,69.28081352776272,7.151057401812689,6.196374622356496,8.61631419939577,0.4219621524553549,0.20930759373946448,Positive
0,2021-01-12,324,912,1191,2636,127.75671657046657,67.43605391714769,2.814814814814815,3.675925925925926,8.135802469135802,0.3943108536125512,0.20813596888008537,Positive
0,2021-01-13,308,539,1083,2976,117.32864183501684,58.256189439033164,1.75,3.5162337662337664,9.662337662337663,0.38093714881498975,0.1891434722046532,Positive
0,2021-01-14,307,663,1617,3426,119.02333892496397,48.4388738161411,2.1596091205211727,5.267100977198697,11.159609120521173,0.38769817239401927,0.157781347935313,Positive
0,2021-01-15,366,520,899,2277,144.09922679172684,70.25031340187584,1.4207650273224044,2.4562841530054644,6.221311475409836,0.39371373440362517,0.19194074699966093,Positive
0,2021-01-16,365,1602,1585,3344,137.380496847729,55.938971689685964,4.389041095890411,4.342465753424658,9.161643835616438,0.37638492287049036,0.15325745668407115,Positive
0,2021-01-17,362,583,1123,4278,142.27696789321803,61.672218114929024,1.6104972375690607,3.1022099447513813,11.817679558011049,0.39303029804756323,0.17036524341140621,Positive
0,2021-01-18,386,348,660,2182,170.68884102934118,95.99393682359286,0.9015544041450777,1.7098445595854923,5.652849740932642,0.44219907002419956,0.24868895550153647,Positive
0,2021-01-19,367,596,1843,4831,149.54400891568753,69.52955749244141,1.6239782016348774,5.021798365122616,13.163487738419619,0.40747686353048357,0.1894538351292682,Positive
0,2021-01-20,356,326,1387,3825,126.96838102109538,58.95655799679401,0.9157303370786517,3.896067415730337,10.74438202247191,0.356652755677234,0.16560830897975856,Positive
0,2021-01-21,277,1249,958,1851,110.98529810004818,44.28168478685668,4.509025270758123,3.4584837545126352,6.682310469314079,0.4006689462095599,0.15986167793089046,Positive
0,2021-01-22,315,285,606,1985,118.69936784511792,51.35889745295216,0.9047619047619048,1.9238095238095239,6.301587301587301,0.37682338998450116,0.16304411889826076,Positive
0,2021-01-23,342,384,998,3381,141.55084710659722,76.07205123811366,1.1228070175438596,2.91812865497076,9.885964912280702,0.4138913658087634,0.22243289835705773,Positive
0,2021-01-24,402,1704,2319,4814,138.13387962962977,55.41338885399491,4.2388059701492535,5.768656716417911,11.975124378109452,0.34361661599410354,0.13784425088058427,Positive
0,2021-01-25,335,528,789,2544,119.7984777629778,59.28182679357682,1.5761194029850747,2.355223880597015,7.594029850746269,0.3576073963073963,0.17696067699575163,Positive
0,2021-01-26,340,410,918,2462,123.41549182299191,62.97995439889976,1.2058823529411764,2.7,7.241176470588235,0.3629867406558583,0.18523515999676388,Positive
0,2021-01-27,294,734,1666,7687,111.92650553150544,46.000955687830704,2.496598639455782,5.666666666666667,26.14625850340136,0.38070239976702563,0.1564658356728935,Positive
0,2021-01-28,478,463,807,2700,172.89536245170171,70.59608417293687,0.9686192468619247,1.6882845188284519,5.648535564853557,0.36170577918766056,0.1476905526630478,Positive
0,2021-01-29,2195,8319,12165,47490,717.9391254856242,207.76914251233714,3.78997722095672,5.542141230068337,21.635535307517085,0.3270793282394649,0.09465564579149767,Neutral
0,2021-01-30,662,1645,3040,9425,221.06311447877525,73.64900979823757,2.484894259818731,4.59214501510574,14.237160120845921,0.33393219709784777,0.11125228066199014,Positive
0,2021-01-31,680,1367,2310,6359,240.91814177224916,88.72953735387047,2.010294117647059,3.3970588235294117,9.351470588235294,0.3542913849591896,0.1304846137556919,Positive
0,2021-02-01,763,1444,2281,7229,262.1796144787752,124.68958326569262,1.8925294888597641,2.9895150720838792,9.474442988204457,0.34361679486078006,0.16342016155398775,Positive
0,2021-02-02,553,1281,2738,10771,194.82284481722007,86.4551314371392,2.3164556962025316,4.951175406871609,19.477396021699818,0.35230170853023474,0.15633839319555018,Positive
0,2021-02-03,614,823,1376,5163,200.42493073901417,86.79584565665816,1.3403908794788273,2.241042345276873,8.408794788273616,0.32642496863031606,0.1413613121443944,Positive
0,2021-02-04,568,472,1230,8631,201.20248761489847,75.3387260359204,0.8309859154929577,2.165492957746479,15.195422535211268,0.3542297317163703,0.1326386021759164,Positive
0,2021-02-05,580,750,1243,5003,196.54735209235238,77.10987439487415,1.293103448275862,2.143103448275862,8.625862068965517,0.3388747449868139,0.13294805930150713,Positive
0,2021-02-06,515,1517,2112,6352,191.3066883417509,73.12548303721735,2.9456310679611653,4.100970873786408,12.333980582524271,0.3714692977509725,0.1419912291984804,Positive
0,2021-02-07,490,676,1651,10322,174.36540197467895,60.79376820500927,1.379591836734694,3.369387755102041,21.06530612244898,0.3558477591319975,0.12406891470410057,Positive
0,2021-02-08,864,1168,2060,7302,323.36600295471703,124.3912497574194,1.3518518518518519,2.384259259259259,8.45138888888889,0.3742662071235153,0.14397135388590224,Positive
0,2021-02-09,1247,1371,2075,8512,399.3067018768264,161.8462005668665,1.09943865276664,1.6639935846030474,6.82598235765838,0.32021387480098384,0.12978845274006942,Neutral
0,2021-02-10,988,1049,3839,8810,319.21800054575095,134.77351613490654,1.061740890688259,3.8856275303643724,8.917004048582996,0.32309514225278396,0.13641044143209186,Positive
0,2021-02-11,1462,10342,7007,27785,557.3601869810088,203.43729661802396,7.073871409028728,4.792749658002736,19.004787961696305,0.38123131804446536,0.13914999768674638,Positive
0,2021-02-12,1027,2623,4238,7243,368.9331540404042,138.659341793117,2.554040895813048,4.1265822784810124,7.0525803310613435,0.3592338403509289,0.13501396474500213,Positive
